timestamp,level,px,py,pz,rx,ry,rz,rw,ex,ey,ez
68.914,1,-0.099405,1.669255,-0.180219,-0.049401,-0.014567,-0.018106,0.998509,354.307900,358.427800,358.000500
69.026,1,-0.101156,1.669473,-0.183197,-0.051832,-0.015932,-0.019676,0.998335,354.023600,358.284700,357.831400
69.138,1,-0.103494,1.669903,-0.185045,-0.053522,-0.015261,-0.019101,0.998267,353.832200,358.361700,357.895900
69.248,1,-0.105469,1.670061,-0.185501,-0.053878,-0.012264,-0.016536,0.998335,353.801000,358.691400,358.173000
69.360,1,-0.107783,1.669127,-0.184553,-0.050501,-0.009494,-0.015026,0.998566,354.195000,358.995400,358.326700
69.471,1,-0.109794,1.666556,-0.180676,-0.036386,-0.001494,-0.012371,0.999260,355.827800,359.880200,358.585800
69.582,1,-0.111866,1.663511,-0.174618,-0.017579,0.002960,-0.008533,0.999805,357.988500,0.356523,359.015800
69.693,1,-0.114070,1.659644,-0.168641,0.001360,-0.000888,-0.002575,0.999995,0.155626,359.897900,359.704800
69.804,1,-0.115574,1.656954,-0.161628,0.011296,-0.007871,0.003397,0.999900,1.297490,359.102300,0.379123
69.915,1,-0.115521,1.654840,-0.155165,0.020956,-0.016262,0.007133,0.999623,2.414473,358.152400,0.778748
70.026,1,-0.112834,1.651870,-0.148738,0.033000,-0.027452,0.010936,0.999018,3.815014,356.890200,1.150736
70.137,1,-0.109046,1.650476,-0.145093,0.038931,-0.034627,0.012793,0.998560,4.510146,356.079600,1.313588
70.248,1,-0.101363,1.649058,-0.143088,0.045760,-0.037869,0.011756,0.998165,5.292575,355.707900,1.151125
70.359,1,-0.093591,1.649427,-0.143999,0.048306,-0.041090,0.010510,0.997932,5.582322,355.332000,0.979090
70.470,1,-0.082118,1.653178,-0.145379,0.048042,-0.044167,0.008093,0.997836,5.542940,354.964400,0.685405
70.581,1,-0.072493,1.658773,-0.147732,0.044619,-0.050224,0.003047,0.997736,5.125805,354.240700,0.091994
70.692,1,-0.062830,1.663836,-0.151089,0.039129,-0.048123,-0.001696,0.998073,4.470359,354.463100,359.589000
70.804,1,-0.054970,1.667722,-0.154522,0.033764,-0.044325,-0.004603,0.998436,3.842522,354.892700,359.300300
70.915,1,-0.049710,1.670274,-0.156876,0.028101,-0.043654,-0.004797,0.998640,3.193423,354.974800,359.309400
71.026,1,-0.044818,1.672092,-0.158287,0.024987,-0.043905,-0.004180,0.998714,2.839771,354.950600,359.395200
71.137,1,-0.040639,1.673681,-0.158689,0.021163,-0.039082,-0.003437,0.999006,2.407965,355.509100,359.511400
71.248,1,-0.030828,1.678349,-0.160006,0.006658,-0.005531,-0.004401,0.999953,0.760205,359.362800,359.491400
71.359,1,-0.017141,1.682448,-0.162715,-0.013035,0.060820,-0.006494,0.998043,358.554400,6.984974,359.166100
71.470,1,0.002070,1.682024,-0.170328,-0.034354,0.182857,-0.008958,0.982498,356.317400,21.141610,358.267800
71.582,1,0.012370,1.682059,-0.184879,-0.051145,0.327401,-0.014264,0.943393,354.999800,38.430160,356.523900
71.692,1,0.005659,1.682896,-0.199351,-0.068408,0.448542,-0.023679,0.890825,354.224100,53.753340,354.025600
71.804,1,-0.012478,1.686196,-0.207455,-0.077561,0.542399,-0.023343,0.836207,354.008000,66.311150,352.885400
71.915,1,-0.029912,1.683642,-0.212872,-0.073435,0.613897,-0.024201,0.785591,355.085700,76.329080,352.607800
72.027,1,-0.049724,1.679521,-0.220979,-0.063781,0.678622,-0.021369,0.731401,356.313600,85.931190,353.219300
72.137,1,-0.061148,1.680143,-0.231130,-0.058343,0.717021,-0.013963,0.694465,356.502200,92.012150,354.073500
72.248,1,-0.072455,1.679494,-0.246823,-0.056556,0.747541,-0.009618,0.661734,356.533200,97.137930,354.406900
72.359,1,-0.077304,1.680052,-0.261091,-0.058946,0.760019,-0.003864,0.647211,355.961400,99.358360,354.558100
72.470,1,-0.077865,1.684186,-0.279750,-0.058219,0.767792,0.003450,0.638039,355.435100,100.741600,355.108500
72.582,1,-0.075734,1.684579,-0.291848,-0.052502,0.767701,0.008532,0.638597,355.402500,100.651600,355.989500
72.692,1,-0.074162,1.684704,-0.299390,-0.044020,0.757699,0.016779,0.650902,355.254300,98.778470,357.419700
72.804,1,-0.071104,1.687306,-0.304233,-0.046670,0.739414,0.030733,0.670928,353.795700,95.647000,358.398800
72.915,1,-0.065426,1.689678,-0.305357,-0.049568,0.711181,0.044590,0.699840,352.368400,90.952190,359.532300
73.026,1,-0.054150,1.692641,-0.297237,-0.055324,0.624701,0.064963,0.776188,350.383800,77.501300,1.843979
73.138,1,-0.042492,1.688743,-0.288681,-0.046685,0.551658,0.072843,0.829571,350.919300,66.927200,4.027105
73.249,1,-0.022105,1.682918,-0.273713,-0.029590,0.483816,0.060155,0.872598,353.693400,57.769970,4.405506
73.360,1,0.003577,1.679237,-0.251400,-0.026451,0.443600,0.046575,0.894623,354.914100,52.596080,3.445786
73.471,1,0.034208,1.670990,-0.216187,-0.019207,0.407440,0.028116,0.912597,356.676800,48.058450,2.047414
