"fit","term","estimate","se","z","p"
"bobyqa","(Intercept)",3.22953512131329,0.00357222277613512,904.068789575157,0
"bobyqa","stimDisparity_c",1.16181911362872,0.00360357845168375,322.407054322867,0
"bobyqa","soundTypeFlute",-0.0624141817497083,0.00371798854772354,-16.7870828402426,3.03395501986334e-63
"bobyqa","soundTypeSpeech",-0.0644560701559567,0.00356145626680731,-18.09823435337,3.29047736602095e-73
"bobyqa","soundTypePink Noise",-0.10038661579386,0.0036428368206407,-27.557263950188,3.62169549522776e-167
"bobyqa","trialSequence_c",-0.00928836267950687,0.00209230682923244,-4.43929281773377,9.02549512689905e-06
"bobyqa","azimuthSectorRight",-0.0136546732542166,0.00369280143204695,-3.69764621940359,0.00021760787713749
"bobyqa","azimuthSectorBack",0.0257322550422765,0.00370358868931851,6.94792462145991,3.70698966959917e-12
"bobyqa","azimuthSectorLeft",-0.000278537588207944,0.00369419654691766,-0.0753986921568502,0.939897499757091
"bobyqa","elevationCategoryLevel",0.0470793377529404,0.00369579330013457,12.7386284701653,3.60679712379182e-37
"bobyqa","elevationCategoryAbove",0.0568646230747875,0.00355470018412452,15.9970236952045,1.34031205708731e-57
"default (nloptwrap)","(Intercept)",3.2201405076246,0.0789749386710959,40.7742071321563,0
"default (nloptwrap)","stimDisparity_c",1.17172511398235,0.129051234587993,9.07953432389219,1.09040367673437e-19
"default (nloptwrap)","soundTypeFlute",-0.0600817487969357,0.0533404341626943,-1.12638282271344,0.260003514341453
"default (nloptwrap)","soundTypeSpeech",-0.0617485043863402,0.053438830651606,-1.15549879429266,0.24788622607241
"default (nloptwrap)","soundTypePink Noise",-0.0985479013355022,0.0529910513324179,-1.85970836315932,0.0629267981635613
"default (nloptwrap)","trialSequence_c",-0.00933074925211284,0.00268309341075792,-3.47760879837466,0.000505907689919896
"default (nloptwrap)","azimuthSectorRight",-0.00734147321260999,0.0547489219428739,-0.134093475306605,0.89332865899902
"default (nloptwrap)","azimuthSectorBack",0.0291807672141744,0.0557785229278714,0.52315417623928,0.600866967030649
"default (nloptwrap)","azimuthSectorLeft",0.00137874651744226,0.0558093027167764,0.0247046003143811,0.980290585681418
"default (nloptwrap)","elevationCategoryLevel",0.0485862585469146,0.0486527839020599,0.998632650594482,0.31797267731463
"default (nloptwrap)","elevationCategoryAbove",0.0580257142371498,0.0512246364808668,1.13276966365243,0.257310994114962
