"term","estimate","se","z","p","ci_low","ci_high","ratio","ratio_low","ratio_high"
"(Intercept)",3.23080596976483,0.073489417283296,43.9628736925525,0,3.08676935864473,3.37484258088493,25.3000398230246,21.9061924832417,29.2196836824247
"stimDisparity_c",1.16796029365421,0.130647999726224,8.93974876080537,3.90056151365137e-19,0.911894919538615,1.42402566776981,3.21542741753524,2.48903458776553,4.15380868078611
"soundTypeFlute",-0.0605677614219069,0.0540140805811348,-1.12133282229858,0.262146219341851,-0.166433414018975,0.0452978911751617,0.941229987775163,0.846679192023137,1.04633950879358
"soundTypeSpeech",-0.0629429898889154,0.0541193025666694,-1.16304140858756,0.244812702263318,-0.169014873788014,0.0431288940101828,0.938997004486754,0.844496342433045,1.04407246086445
"soundTypePink Noise",-0.0989514316303784,0.0536646622659264,-1.84388436360674,0.0651999943475747,-0.2041322369141,0.00622937365334299,0.905786699538463,0.815354544089281,1.00624881655279
"trialSequence_c",-0.00931407848147486,0.00271696066819768,-3.42812415008327,0.000607767451690968,-0.0146392235385542,-0.00398893342439553,0.990729163191255,0.985467408921386,0.996019011802699
"azimuthSectorRight",-0.00982027130730456,0.0553970797965269,-0.177270559086767,0.859295874976346,-0.118396552557189,0.0987560099425796,0.990227790102943,0.888343707788628,1.10379695121955
"azimuthSectorBack",0.0274960242873846,0.0563911702814454,0.487594496623379,0.625837094474846,-0.0830286385103138,0.138020687085083,1.02787752855347,0.920324790111719,1.1479992987877
"azimuthSectorLeft",0.00153023562952538,0.0564668437754499,0.027099719538259,0.978380198455687,-0.109142744491006,0.112203215750057,1.0015314070375,0.89660242330667,1.11874018317195
"elevationCategoryLevel",0.0476094874932097,0.0490975361176372,0.969691989820788,0.332200044369693,-0.0486199150270138,0.143838890013433,1.04876102105067,0.952543108224406,1.15469806014923
"elevationCategoryAbove",0.0579849664276546,0.0517924890169974,1.11956323258813,0.262899930930397,-0.0435264467153466,0.159496379570656,1.05969906452799,0.95740723347957,1.172920015739
