"term","estimate","se","df","t","p"
"(Intercept)",3.09399037561959,0.0771546442747235,166.566090868789,40.1011553446202,1.7208520871002e-87
"stimDisparity_c",1.15122346433382,0.138334478827517,706.960121034921,8.32202842047229,4.45471017225009e-16
"soundTypeFlute",-0.0747900647828201,0.0576357479111183,703.110009166828,-1.2976332830478,0.194838939613903
"soundTypeSpeech",-0.074901684860458,0.0578514810065477,703.292080404377,-1.29472372283746,0.195840455571788
"soundTypePink Noise",-0.0790165988022457,0.0574645341169012,703.048023825144,-1.37504984624953,0.169554016631723
"trialSequence_c",-0.00818693724675376,0.00295080423319105,703.261533346455,-2.77447658325346,0.00567578364416935
"azimuthSectorRight",-0.0198919564420233,0.0590577545084695,713.653406406671,-0.336822092332864,0.736350043020194
"azimuthSectorBack",0.0225689210769225,0.0605400612048714,720.77056973476,0.372793165843488,0.709411987690102
"azimuthSectorLeft",0.019515523659096,0.0608588326695241,716.262621715734,0.320668714844882,0.748554990349341
"elevationCategoryLevel",0.0446625847868013,0.0522468140841818,727.83899197856,0.854838435025713,0.392921884457526
"elevationCategoryAbove",0.0629320331283824,0.055142510033465,716.530868422404,1.14126167071811,0.254142319004112
