"term","estimate","se","z","p","ci_low","ci_high","ratio","ratio_low","ratio_high"
"(Intercept)",3.27438745287097,0.0567429410617702,57.7056351257238,0,3.16317333201302,3.38560157372891,26.4270327186335,23.6455120597062,29.5357553073183
"stimDisparity_c",0.702415302685997,0.0972386934818173,7.22361929736687,5.06218495633649e-13,0.511830965557906,0.892999639814089,2.01862240832718,1.66834307886228,2.442445129559
"soundTypeFlute",-0.0699561607695528,0.0422235498308472,-1.65680434377985,0.0975590385305106,-0.152712797737446,0.01280047619834,0.932434696229473,0.858376214003927,1.01288275297965
"soundTypeSpeech",-0.0465379864407814,0.0412917766006056,-1.12705217048227,0.259720423949538,-0.127468381435642,0.0343924085540793,0.954528300748513,0.880321249888278,1.03499066624312
"soundTypePink Noise",-0.0513440290773457,0.0420019137120733,-1.22242118369447,0.221548392423762,-0.133666267234768,0.030978209080077,0.949951803267328,0.87488199267431,1.0314630271134
"trialSequence_c",-0.00353351993733517,0.00213931364541067,-1.65170728701488,0.0985942364593476,-0.00772649763397516,0.000659457759304833,0.996472715597614,0.992303275020075,1.00065967524938
"azimuthSectorRight",-0.0233239864971662,0.0433632208212482,-0.537874863892429,0.590663442944735,-0.10831433756047,0.0616663645661376,0.976945915209087,0.897345482703356,1.06360742839916
"azimuthSectorBack",0.0224729582074391,0.0441049674381431,0.509533495041285,0.610378326461779,-0.0639711895106331,0.108917105925511,1.02272737740892,0.938032024303091,1.11506991382178
"azimuthSectorLeft",0.0355265769143206,0.0447715310232588,0.793508198231251,0.427481794734822,-0.0522240114239842,0.123277165252625,1.0361651858355,0.949116230149012,1.13119790625532
"elevationCategoryLevel",0.0163652841657283,0.0380891974296537,0.429656838948972,0.667445284286892,-0.0582881709964285,0.0910187393278851,1.01649992892578,0.943378054068939,1.09528953005579
"elevationCategoryAbove",0.0512718826736485,0.0404556059958983,1.26736162792486,0.205026013730881,-0.0280196480510548,0.130563413398352,1.05260904054245,0.972369261452663,1.13947019527996
