"model","formula","response","term","estimate","se","df","t","p","ci_lo","ci_hi"
"A0_metric_resp_nominal","signedError_m ~ stimDisp_cm + soundType + (1 + stimDisp_cm | participantId)","signedError_m","(Intercept)",0.139989187324441,0.0161718809300316,86.0013068033613,8.65633304685529,2.46417794456838e-13,0.108292883139309,0.171685491509573
"A0_metric_resp_nominal","signedError_m ~ stimDisp_cm + soundType + (1 + stimDisp_cm | participantId)","signedError_m","stimDisp_cm",0.346596426423483,0.0535140773963464,30.5049895593417,6.47673366124681,3.43136747781636e-07,0.241710762060756,0.451482090786211
"A0_metric_resp_nominal","signedError_m ~ stimDisp_cm + soundType + (1 + stimDisp_cm | participantId)","signedError_m","soundTypeFlute",0.0120388868341274,0.017057878218026,688.845578774374,0.705766958835785,0.480571677787864,-0.0213939401258738,0.0454717137941285
"A0_metric_resp_nominal","signedError_m ~ stimDisp_cm + soundType + (1 + stimDisp_cm | participantId)","signedError_m","soundTypeSpeech",-0.000250160401252296,0.0170448007832171,689.249948983525,-0.0146766397820626,0.988294403257656,-0.0336573560600179,0.0331570352575133
"A0_metric_resp_nominal","signedError_m ~ stimDisp_cm + soundType + (1 + stimDisp_cm | participantId)","signedError_m","soundTypePink Noise",-0.0250685195438882,0.0170422135928776,689.522402944891,-1.47096616336067,0.141756462613784,-0.0584706444027672,0.00833360531499083
"A1_metric_resp_ang_onset","signedError_m ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm | participantId)","signedError_m","(Intercept)",0.144008206247905,0.0166630537201841,90.4623788221537,8.64236583918988,1.84096962014196e-13,0.111349221083888,0.176667191411922
"A1_metric_resp_ang_onset","signedError_m ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm | participantId)","signedError_m","angDisp_onset_cm",0.00120837524791101,0.000335032697834251,25.2651872130344,3.60673825486975,0.00133380094399558,0.000551723226512588,0.00186502726930943
"A1_metric_resp_ang_onset","signedError_m ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm | participantId)","signedError_m","soundTypeFlute",0.00413903793861717,0.017891118494175,707.502941080584,0.23134595749085,0.817112935035432,-0.0309269099531043,0.0392049858303386
"A1_metric_resp_ang_onset","signedError_m ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm | participantId)","signedError_m","soundTypeSpeech",-0.00251799611125795,0.0178902301207402,708.061983662044,-0.14074699398857,0.888109848934795,-0.0375822028230423,0.0325462106005264
"A1_metric_resp_ang_onset","signedError_m ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm | participantId)","signedError_m","soundTypePink Noise",-0.0292028916149985,0.0178982266109284,707.40914192484,-1.63160810564146,0.103207128926143,-0.0642827711595545,0.00587698792955752
"A2_metric_resp_ang_timemean","signedError_m ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm | participantId)","signedError_m","(Intercept)",0.141904127738363,0.0170245826985657,75.3943920441201,8.33524851979591,2.64856669044775e-12,0.10853655879735,0.175271696679376
"A2_metric_resp_ang_timemean","signedError_m ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm | participantId)","signedError_m","angDisp_mean_cm",0.00273954058122388,0.000442004249759858,26.2187336515075,6.19799602088052,1.42762463518817e-06,0.00187322817068091,0.00360585299176685
"A2_metric_resp_ang_timemean","signedError_m ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm | participantId)","signedError_m","soundTypeFlute",0.0107871195248881,0.0170427080884165,702.154766689119,0.632946329240941,0.526974770106913,-0.0226159745274376,0.0441902135772139
"A2_metric_resp_ang_timemean","signedError_m ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm | participantId)","signedError_m","soundTypeSpeech",-0.00127520089910201,0.0170702160304137,706.073922944368,-0.0747032666036566,0.940471967666881,-0.0347322095270311,0.0321818077288271
"A2_metric_resp_ang_timemean","signedError_m ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm | participantId)","signedError_m","soundTypePink Noise",-0.0246923595947172,0.017025598240948,700.458109926177,-1.45030789786465,0.147420299036408,-0.0580619189622237,0.00867719977278924
"B0_ang_resp_nominal","angResp_onset_deg ~ stimDisp_cm + soundType + (1 + stimDisp_cm || participantId)","angResp_onset_deg","(Intercept)",9.10627259732375,1.90804429390607,217.849352965898,4.77256876394719,3.33340222552902e-06,5.36657450036071,12.8459706942868
"B0_ang_resp_nominal","angResp_onset_deg ~ stimDisp_cm + soundType + (1 + stimDisp_cm || participantId)","angResp_onset_deg","stimDisp_cm",24.3859759103635,6.45721059519445,32.5442355894785,3.77654957211895,0.000641154417621413,11.730075703192,37.0418761175351
"B0_ang_resp_nominal","angResp_onset_deg ~ stimDisp_cm + soundType + (1 + stimDisp_cm || participantId)","angResp_onset_deg","soundTypeFlute",3.62350890262193,2.52587924302789,694.137346211461,1.43455349760833,0.151864735086049,-1.32712344301002,8.57414124825389
"B0_ang_resp_nominal","angResp_onset_deg ~ stimDisp_cm + soundType + (1 + stimDisp_cm || participantId)","angResp_onset_deg","soundTypeSpeech",1.96324605908546,2.52397721076757,694.314814536345,0.777838266807655,0.43692932943447,-2.98365837181882,6.91015048998975
"B0_ang_resp_nominal","angResp_onset_deg ~ stimDisp_cm + soundType + (1 + stimDisp_cm || participantId)","angResp_onset_deg","soundTypePink Noise",-0.854168888388546,2.52349354039695,694.645870079288,-0.33848665539052,0.735098764325444,-5.80012534278603,4.09178756600894
"B1_ang_resp_ang_onset","angResp_onset_deg ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm || participantId)","angResp_onset_deg","(Intercept)",9.25730946401876,1.76728203928598,238.450435657933,5.23816191090751,3.56359765616809e-07,5.79350031649375,12.7211186115438
"B1_ang_resp_ang_onset","angResp_onset_deg ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm || participantId)","angResp_onset_deg","angDisp_onset_cm",0.335877112555785,0.065959196949218,32.3476651357204,5.09219529786539,1.47861721250391e-05,0.206599462086134,0.465154763025437
"B1_ang_resp_ang_onset","angResp_onset_deg ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm || participantId)","angResp_onset_deg","soundTypeFlute",3.04722141915401,2.37734120175512,696.228729093104,1.2817770612415,0.200347542969668,-1.61228171524919,7.70672455355721
"B1_ang_resp_ang_onset","angResp_onset_deg ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm || participantId)","angResp_onset_deg","soundTypeSpeech",2.61969453324985,2.37885795037329,697.084810926456,1.10124042204318,0.27117213484789,-2.04278137381857,7.28217044031827
"B1_ang_resp_ang_onset","angResp_onset_deg ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm || participantId)","angResp_onset_deg","soundTypePink Noise",-0.889797074815475,2.37863899865234,697.055189394026,-0.374078233527494,0.708459870059377,-5.55184384439648,3.77224969476553
"B2_ang_resp_ang_timemean","angResp_onset_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_onset_deg","(Intercept)",9.16638928380282,1.8467906768054,224.117180146712,4.96341539890106,1.37054720376995e-06,5.54674607027989,12.7860324973257
"B2_ang_resp_ang_timemean","angResp_onset_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_onset_deg","angDisp_mean_cm",0.322979874537543,0.061295191640988,31.1454788433282,5.26925303422278,9.79317245687733e-06,0.202843506495726,0.44311624257936
