"factor_tested","contrast","estimate","SE","df","t.ratio","p.value"
"soundType","Drum - Flute",-1.20388944912745,1.7069962179619,688.382023077343,-0.705267789383189,0.895011389550748
"soundType","Drum - Speech",0.025017621361971,1.70570370642915,688.78701684963,0.0146670381659337,0.999998865590904
"soundType","Drum - Pink Noise",2.50685397340729,1.7055265273047,689.06394912156,1.46984167837539,0.456375633941435
"soundType","Flute - Speech",1.22890707048942,1.70864001440842,694.53463068824,0.719231119560844,0.889448120577258
"soundType","Flute - Pink Noise",3.71074342253474,1.70690546462826,688.412804491821,2.17395954224266,0.131541475099662
"soundType","Speech - Pink Noise",2.48183635204532,1.70760935799741,692.787696525828,1.45339819111548,0.466482228822843
"azimuthSector","Front - Right",0.381768441508791,1.77473671355171,717.970750032163,0.215112719871993,0.99648274798715
"azimuthSector","Front - Back",-2.10547161440167,1.81963189133986,726.473197278549,-1.15708656482787,0.654143538630183
"azimuthSector","Front - Left",-0.392161369534276,1.8328978826255,721.33434407594,-0.213957020329214,0.996538505410235
"azimuthSector","Right - Back",-2.48724005591046,1.75072654243875,721.0420533836,-1.42069020810397,0.486764306294254
"azimuthSector","Right - Left",-0.773929811043068,1.76903060383401,717.615599725743,-0.437488084923874,0.971971343268385
"azimuthSector","Back - Left",1.7133102448674,1.78287426682038,719.984722348247,0.960982093214543,0.771653860763363
"elevationCategory","Below - Level",0.0315807354118931,1.56916043389324,732.86431551059,0.0201258805216864,0.999776708834726
"elevationCategory","Below - Above",-0.179543749248029,1.6604347430046,721.610736791068,-0.108130566410059,0.993574690009005
"elevationCategory","Level - Above",-0.211124484659922,1.54614698270246,725.22109749238,-0.13654878030477,0.989773361892129
