"metric","bin_label","n","k","p_capture","ci_lo","ci_hi","p_soft_gt0.25","p_strict_gt0.75","median_ang_deg"
"nominal disparity (cm)","[15,25)",164,60,0.3659,0.2921,0.4445,0.5793,0.2073,22.411
"nominal disparity (cm)","[25,35)",200,68,0.34,0.2747,0.4102,0.58,0.125,36.209
"nominal disparity (cm)","[35,45)",170,59,0.3471,0.2758,0.4237,0.6529,0.1588,43.0896
"nominal disparity (cm)","[45,55)",78,28,0.359,0.2534,0.4756,0.641,0.0769,48.4748
"nominal disparity (cm)","[55,70]",132,47,0.3561,0.2747,0.4441,0.5758,0.1288,64.4415
"experienced angular disparity (deg)","[0,20)",96,32,0.3333,0.2404,0.4369,0.4792,0.2604,15.6384
"experienced angular disparity (deg)","[20,30)",152,50,0.3289,0.255,0.4097,0.5395,0.1908,25.1017
"experienced angular disparity (deg)","[30,40)",120,42,0.35,0.2652,0.4424,0.6083,0.15,34.7936
"experienced angular disparity (deg)","[40,50)",130,36,0.2769,0.2021,0.3622,0.5846,0.0769,44.8307
"experienced angular disparity (deg)","[50,60)",104,37,0.3558,0.2643,0.4557,0.6731,0.125,54.7019
"experienced angular disparity (deg)","[60,Inf)",142,65,0.4577,0.3739,0.5433,0.7113,0.0986,69.7997
