"replicate","max_LRT","argmax_breakpoint_m","n_singular","n_warn"
1,0.710566015986501,0.57,0,0
2,0.417682285191859,0.54,0,0
3,1.61991343347711,0.28,32,0
4,1.32904133873086,0.22,34,1
5,2.26149693345326,0.25,0,0
6,7.04680622369176,0.23,0,0
7,0.561458648104008,0.51,0,0
8,8.77588351639724,0.21,26,1
9,3.32290722823524,0.42,0,1
10,4.13356230668421,0.24,0,1
11,2.63174763852192,0.33,15,0
12,2.08943275771264,0.29,0,0
13,5.40343093048409,0.21,0,0
14,5.96586470315208,0.3,35,1
15,2.67581305623446,0.56,41,0
16,0.549733765003566,0.51,11,1
17,2.42904593421542,0.27,0,4
18,0.563871800743641,0.35,35,0
19,3.10293253340456,0.36,15,1
20,2.73135493930681,0.25,0,1
21,0.174310863182882,0.31,26,0
22,3.60782192715828,0.38,0,0
23,0.599715255700858,0.25,37,0
24,1.65733453934388,0.58,0,0
25,2.2134331581783,0.6,0,0
26,1.89396999516953,0.22,0,0
27,0.568388593234886,0.29,35,0
28,0.696387240233548,0.6,0,1
29,0.889983548631676,0.57,18,1
30,0.200563621837205,0.34,20,0
31,1.24575956947729,0.59,14,2
32,0.507078738312657,0.6,11,1
33,0.356927400418499,0.39,15,0
34,0.648492907246236,0.5,28,0
35,1.26923196258707,0.24,0,1
36,2.45780124810653,0.39,0,0
37,3.9276427402757,0.22,0,0
38,1.39973846855264,0.2,0,5
39,3.97759675158386,0.24,0,0
40,0.448777732641133,0.42,23,0
41,6.25011877059262,0.22,26,1
42,1.06013103163673,0.47,22,1
43,0.793793709331112,0.51,0,1
44,1.94924271982325,0.2,0,0
45,6.89239430772523,0.23,26,0
46,0.670343439535145,0.59,41,0
47,1.30697959958945,0.57,4,3
48,5.78660392941777,0.39,30,0
49,0.842942687348227,0.35,0,1
50,3.40463148454853,0.25,0,0
51,0.487746438338093,0.24,0,0
52,2.612072374143,0.47,0,0
53,1.91351997305674,0.6,32,0
54,2.320377561599,0.56,39,0
55,1.54226785526885,0.23,0,0
56,6.01584453361045,0.55,0,4
57,2.07908916034501,0.53,0,27
58,5.37056883166997,0.37,40,0
59,2.05134695308016,0.2,0,0
60,0.45922567308412,0.24,38,1
61,1.52699914597474,0.25,0,0
62,0.887053067075954,0.2,0,0
63,3.26278582851046,0.6,19,0
64,2.41266705056347,0.49,27,0
65,0.28134910016729,0.48,0,0
66,0.426449839383338,0.58,15,2
67,1.43337669882862,0.59,1,22
68,3.7770303952201,0.2,0,1
69,0.969169994326876,0.6,33,0
70,3.58119820027287,0.22,0,0
71,1.95409677898499,0.58,0,4
72,2.53266121213869,0.6,3,8
73,3.38371209098568,0.24,0,1
74,2.66666871568896,0.6,0,0
75,0.935395557118,0.2,0,0
76,3.07185512368255,0.5,0,0
77,0.310356993669643,0.39,0,0
78,8.7150058812656,0.27,0,0
79,0.76268945657273,0.55,21,2
80,1.77651736978919,0.3,28,0
81,2.56465444682698,0.5,0,0
