"dropped","n","edf","quad_b","quad_p"
"P001",720,1.15446017028547,-0.297333008552464,0.274493775500993
"P002",720,1.00082989795067,-0.264660731661234,0.33944313564392
"P003",720,1.21982365177622,-0.324619926849428,0.225368826189577
"P004",720,1.13330792439357,-0.28683518769651,0.315308797997827
"P005",720,1.00104504949001,-0.224254426239024,0.42755664910885
"P006",720,1.51684973062124,-0.386279042259453,0.167211984420194
"P007",720,1.00060578968162,-0.247918997419496,0.377247893429714
"P008",720,1.00094231674362,-0.264417258873043,0.353202305576299
"P009",720,1.14518115991774,-0.301589762173457,0.283990049510597
"P010",720,1.00196194548177,-0.235021141020128,0.401506977222155
"P011",720,1.15544730694494,-0.305472080158281,0.279967124302895
"P012",720,1.15160130867275,-0.309047858964756,0.270621460031446
"P013",720,1.00365177963039,-0.274647179598988,0.335655512824218
"P014",720,1.35617297626437,-0.354936044688392,0.216255703393375
"P015",720,1.07148289238199,-0.291014687454891,0.306484263836732
"P016",720,1.23590844366388,-0.313798527631222,0.273749796163274
"P017",720,1.00276955435396,-0.282912574387172,0.324338125054713
"P018",720,1.06117930677727,-0.28670619183519,0.313280469725174
"P019",720,1.10575162774632,-0.287710269535146,0.31169175910899
"P020",720,1.00033879069506,-0.203400492315193,0.465216414314272
"P021",720,1.05948598508009,-0.292111298280641,0.305901915516882
"P022",720,1.00186547378625,-0.286328175876284,0.311203252273385
"P023",720,1.19630637674632,-0.300835447744567,0.285102528189391
"P024",720,1.15788870221006,-0.299803909002006,0.295881793325554
"P025",720,1.15540719608062,-0.302597165616185,0.280915118408806
"P026",720,1.13161114572675,-0.297093971672497,0.286604625763279
"P027",720,1.00077386960188,-0.248656071633272,0.380815165847521
"P028",720,1.36786301998219,-0.339251214322385,0.215632388435585
"P029",720,1.0003327500302,-0.216916093197444,0.448443433517603
"P030",720,1.43011164997616,-0.357298193819653,0.206927913471093
"P031",720,1.70120811235708,-0.426678936275091,0.12729513019031
