"angDisp_onset_deg","fit_cm","se_cm"
5,8.95279305491772,2.04625648489205
10,10.4626886795559,1.80778724387739
15,11.9484216221106,1.70266778534376
20,13.3838919419435,1.6872655970544
25,14.7490182050976,1.70602042121601
30,16.0330949760896,1.74554679124486
35,17.2286087686704,1.80442712818419
40,18.3242434142292,1.86863429502261
45,19.3021599236255,1.92868235552776
50,20.1390198888861,1.99250729138618
55,20.8104828196668,2.07090046153029
60,21.2949507185796,2.16390076992494
65,21.5770686593708,2.26284117003563
70,21.65075716299,2.36171668092337
75,21.5186756671395,2.46259644054801
80,21.1917325092993,2.57310261148938
85,20.6864481700221,2.69836853764507
90,20.0215803684347,2.83625931904617
95,19.217889424829,2.98117130867305
100,18.296476194743,3.12960419856729
