"breakpoint_m","logLik","AIC","BIC","slope1","hinge","singular","slope2","LRT"
0.2,265.449207842056,-510.898415684113,-464.778005335782,1.48241096004068,-1.16845555744409,FALSE,0.313955402596596,2.42577667642865
0.21,265.331860593963,-510.663721187926,-464.543310839595,1.17041115576462,-0.857584808961232,FALSE,0.312826346803389,2.19108218024166
0.22,265.228361722628,-510.456723445257,-464.336313096926,0.973263780926536,-0.660961209010973,FALSE,0.312302571915564,1.98408443757273
0.23,265.128456596061,-510.256913192121,-464.13650284379,0.842141911129258,-0.530825883556989,FALSE,0.311316027572269,1.7842741844371
0.24,265.242906877883,-510.485813755767,-464.365403407436,0.795227303255546,-0.489155474279235,FALSE,0.306071828976311,2.01317474808263
0.25,265.218309407677,-510.436618815354,-464.316208467023,0.731235020710803,-0.427843810369618,FALSE,0.303391210341185,1.96397980767017
0.26,265.27380033319,-510.547600666381,-464.42719031805,0.694734558011702,-0.395987836229833,FALSE,0.298746721781869,2.07496165869668
0.27,265.352022251521,-510.704044503042,-464.583634154711,0.666351802770411,-0.372486250585229,FALSE,0.293865552185182,2.23140549535776
0.28,265.451917810056,-510.903835620111,-464.78342527178,0.645358974433967,-0.357259057287828,FALSE,0.288099917146139,2.43119661242724
0.29,265.432608763151,-510.865217526301,-464.74480717797,0.612759409220074,-0.327163338310013,FALSE,0.285596070910061,2.39257851861714
0.3,265.291137720002,-510.582275440005,-464.461865091674,0.572606886001626,-0.286084647385985,FALSE,0.286522238615642,2.1096364323206
0.31,265.207181818532,-510.414363637064,-464.293953288733,0.543848841934294,-0.257642165798826,FALSE,0.286206676135468,1.94172462938025
0.32,265.210944977841,-510.421889955682,-464.301479607351,0.527429326368516,-0.244244273466783,FALSE,0.283185052901732,1.94925094799817
0.33,265.155844458173,-510.311688916347,-464.191278568016,0.50757150277512,-0.225169692524694,FALSE,0.282401810250426,1.83904990866279
0.34,265.033814881342,-510.067629762684,-463.947219414354,0.485177795419083,-0.201241440911068,FALSE,0.283936354508015,1.59499075500037
0.35,264.935788315197,-509.871576630395,-463.751166282064,0.467194763047252,-0.182234674902765,FALSE,0.284960088144487,1.39893762271072
0.36,264.893065418784,-509.786130837569,-463.665720489238,0.456211292184762,-0.172847022950364,FALSE,0.283364269234398,1.3134918298847
0.37,264.852641207154,-509.705282414308,-463.584872065977,0.447103701950731,-0.165795690025179,FALSE,0.281308011925552,1.23264340662388
0.38,264.84269136941,-509.68538273882,-463.56497239049,0.441491596800187,-0.164180136935086,FALSE,0.277311459865101,1.21274373113647
0.39,264.841457771553,-509.682915543105,-463.562505194774,0.437632638396867,-0.165569350502154,FALSE,0.272063287894713,1.21027653542114
0.4,264.772124848713,-509.544249697427,-463.423839349096,0.429582840086165,-0.158954157761437,FALSE,0.270628682324728,1.07161068974267
0.41,264.71262780106,-509.42525560212,-463.304845253789,0.422536992514305,-0.153547051175893,FALSE,0.268989941338411,0.952616594435881
0.42,264.649216969323,-509.298433938646,-463.178023590315,0.414907117710316,-0.146229536738727,FALSE,0.268677580971589,0.825794930961706
0.43,264.605281587903,-509.210563175805,-463.090152827475,0.408801729486076,-0.141390172422594,FALSE,0.267411557063482,0.737924168121367
0.44,264.546796240375,-509.093592480749,-462.973182132418,0.401474813369527,-0.132789611593949,FALSE,0.268685201775579,0.620953473065242
0.45,264.491082651887,-508.982165303775,-462.861754955444,0.394340522441675,-0.123375070742586,FALSE,0.270965451699089,0.509526296090939
0.46,264.471533401182,-508.943066802364,-462.822656454033,0.390691512511201,-0.122042405055679,FALSE,0.268649107455523,0.470427794680063
0.47,264.441969000981,-508.883938001961,-462.76352765363,0.386100887990845,-0.117548590754535,FALSE,0.26855229723631,0.41129899427699
0.48,264.410380345588,-508.820760691177,-462.700350342846,0.381426322340205,-0.111780506601553,FALSE,0.269645815738653,0.348121683492536
0.49,264.380368006598,-508.760736013196,-462.640325664865,0.376789325307285,-0.105026901220824,FALSE,0.271762424086461,0.2880970055121
0.5,264.347827562302,-508.695655124603,-462.575244776272,0.371819718247019,-0.0955972080872284,FALSE,0.276222510159791,0.223016116918984
0.51,264.33400258226,-508.66800516452,-462.547594816189,0.369042186476387,-0.0931682070767654,FALSE,0.275873979399622,0.195366156835803
0.52,264.334283915632,-508.668567831264,-462.548157482933,0.368109852324174,-0.097970690061126,FALSE,0.270139162263048,0.195928823580289
0.53,264.339035678434,-508.678071356869,-462.557661008538,0.367662101191017,-0.105934017724714,FALSE,0.261728083466303,0.205432349184775
0.54,264.34292838383,-508.685856767661,-462.56544641933,0.367092842979144,-0.1145178296536,FALSE,0.252575013325544,0.213217759976487
0.55,264.339962082881,-508.679924165763,-462.559513817432,0.36582699477597,-0.120405323283284,FALSE,0.245421671492686,0.207285158078889
0.56,264.313163846771,-508.626327693542,-462.505917345211,0.362417896145075,-0.111563055512019,FALSE,0.250854840633056,0.153688685858015
0.57,264.277049619318,-508.554099238636,-462.433688890305,0.357616770094401,-0.0881458822805975,FALSE,0.269470887813803,0.0814602309515067
0.58,264.266618598561,-508.533237197122,-462.412826848791,0.355678874461605,-0.0834120588881157,FALSE,0.27226681557349,0.0605981894376555
0.59,264.270462332357,-508.540924664713,-462.420514316383,0.355679804537435,-0.0978034425623121,FALSE,0.257876361975123,0.068285657029378
0.6,264.288707213195,-508.577414426389,-462.457004078059,0.356968039333479,-0.134505539087354,FALSE,0.222462500246125,0.104775418705344
