measure,subset,n,n_participants,b_source,ci_lo,ci_hi,p_source,b_cue,moderator
world_metres,path length Q1,186,26,0.41771723798332605,0.2937406014828234,0.5416938744838288,4.349838340431502e-10,0.39767135616022237,exploration path length
head_elev_deg,path length Q1,186,26,0.21208200133001934,0.12105494180144598,0.3031090608585927,9.172440612369972e-6,0.27753423709692704,exploration path length
world_metres,path length Q2,186,30,0.5536134662147845,0.4139436970455139,0.693283235384055,5.601361296565088e-13,0.30961977831649184,exploration path length
head_elev_deg,path length Q2,186,30,0.2436829304196839,0.14442653241604064,0.34293932842332714,3.2281674262323323e-6,0.2977386970430024,exploration path length
world_metres,path length Q3,186,31,0.3356965699321992,0.2255299943933543,0.4458631454710441,1.342797973909861e-8,0.4369242909121779,exploration path length
head_elev_deg,path length Q3,186,31,0.19505636851068403,0.10535779121998065,0.2847549458013874,3.3475177398272606e-5,0.33502070361363606,exploration path length
world_metres,path length Q4,186,29,0.40578409904404494,0.26889776103324603,0.5426704370548439,2.7211369986981352e-8,0.47832736078087823,exploration path length
head_elev_deg,path length Q4,186,29,0.31467166738020236,0.20691361077455941,0.42242972398584533,4.2080361787106044e-8,0.22213432572119848,exploration path length
world_metres,closest approach Q1,186,29,0.6430230180727436,0.5565296703620464,0.7295163657834409,2.678174352939297e-32,0.338580170257098,closest approach to source
head_elev_deg,closest approach Q1,186,29,0.3334381817830478,0.23219066879353917,0.4346856947725564,9.483980524013264e-10,0.29606768453988436,closest approach to source
world_metres,closest approach Q2,186,31,0.7309515828804846,0.630881966682939,0.8310211990780301,1.1309611607987132e-31,0.24422754992967685,closest approach to source
head_elev_deg,closest approach Q2,186,31,0.3520941458780323,0.26132490888346627,0.4428633828725983,1.4763192016973349e-12,0.24435889586824217,closest approach to source
world_metres,closest approach Q3,186,31,0.3852489551216893,0.2702780180481987,0.5002198921951798,5.135009264446916e-10,0.44526467418385274,closest approach to source
head_elev_deg,closest approach Q3,186,31,0.17687146010804433,0.09204621511326593,0.2616967051028227,6.569686825643394e-5,0.3469993342683764,closest approach to source
world_metres,closest approach Q4,186,29,0.14892604449354577,-0.011531991933738273,0.3093840809208298,0.07055280834455649,0.5212133617604581,closest approach to source
head_elev_deg,closest approach Q4,186,29,0.1478041409605504,0.025847127965447025,0.26976115395565375,0.018604475042493313,0.26268923036873604,closest approach to source
world_metres,head height range Q1,186,29,0.06605941146361882,-0.04968406994653578,0.18180289287377344,0.2648540202707331,0.3201890709480454,vertical head excursion
head_elev_deg,head height range Q1,186,29,0.04748586943749711,-0.04149181538548567,0.1364635542604799,0.2969527484384467,0.11948748596992984,vertical head excursion
world_metres,head height range Q2,186,31,0.33896763042178973,0.22409354206591267,0.45384171877766677,3.234104941500219e-8,0.4157335506977016,vertical head excursion
head_elev_deg,head height range Q2,186,31,0.21601397543826625,0.12519558422230964,0.30683236665422287,6.168070899893693e-6,0.404408990580749,vertical head excursion
world_metres,head height range Q3,186,30,0.5009510964191032,0.3931977078581259,0.6087044849800805,1.4169460769832957e-16,0.34940644853705577,vertical head excursion
head_elev_deg,head height range Q3,186,30,0.38780358828422,0.3110405551287596,0.4645666214396804,8.833249397405512e-19,0.31423874545396197,vertical head excursion
world_metres,head height range Q4,186,30,0.5663468786795066,0.42657097508834996,0.7061227822706633,1.9761665107989232e-13,0.4607295754515641,vertical head excursion
head_elev_deg,head height range Q4,186,30,0.27581258143740683,0.1604773861165843,0.39114777675822937,5.4141656324989325e-6,0.1829252980556204,vertical head excursion
world_metres,head roll SD Q1,186,24,0.43222726587600024,0.28982256920263905,0.5746319625493614,1.3499597353868414e-8,0.295867722413873,head roll
head_elev_deg,head roll SD Q1,186,24,0.2289147035816882,0.13478392263716588,0.3230454845262105,3.82168773194284e-6,0.14111804284595614,head roll
world_metres,head roll SD Q2,186,31,0.3616868098905982,0.2349598543635917,0.48841376541760473,8.145591414233058e-8,0.4457576680870671,head roll
head_elev_deg,head roll SD Q2,186,31,0.22227561284466496,0.12829448803888527,0.31625673765044465,6.767217458142659e-6,0.23731459165310606,head roll
world_metres,head roll SD Q3,186,31,0.4040890798034619,0.2800923654863948,0.528085794120529,1.3774599898235771e-9,0.4138588522869141,head roll
head_elev_deg,head roll SD Q3,186,31,0.19748159350108524,0.10509926906978079,0.2898639179323897,4.344758715350594e-5,0.4165603612404143,head roll
world_metres,head roll SD Q4,186,26,0.4566879413377856,0.33395791960018295,0.5794179630753883,8.908209575647236e-12,0.44742369408416177,head roll
head_elev_deg,head roll SD Q4,186,26,0.32327989456020206,0.21583433427050283,0.4307254548499013,1.7538756254701293e-8,0.26567505762170274,head roll
world_metres,head pitch SD Q1,186,29,0.2587999076192964,0.17423354790259965,0.3433662673359931,1.0823570249048841e-8,0.4266160085665644,head pitch
head_elev_deg,head pitch SD Q1,186,29,0.14674929954956753,0.07917306428477973,0.21432553481435535,3.372979605273989e-5,0.14779956316443202,head pitch
world_metres,head pitch SD Q2,186,31,0.45199229391341383,0.33225148721411396,0.5717331006127137,5.762545224680841e-12,0.29524779444600907,head pitch
head_elev_deg,head pitch SD Q2,186,31,0.2749172319433365,0.18473451212467573,0.3650999517619973,1.199250611791697e-8,0.004201690377915807,head pitch
world_metres,head pitch SD Q3,186,31,0.4722556152699521,0.3438610002351722,0.600650230304732,1.4528380402427309e-11,0.3894339557887685,head pitch
head_elev_deg,head pitch SD Q3,186,31,0.2750820483972271,0.17963377608277298,0.37053032071168124,6.265394468930859e-8,0.3196080523972642,head pitch
world_metres,head pitch SD Q4,186,30,0.47882673955231175,0.3111860936679329,0.6464673854366907,7.908582693027748e-8,0.4125786397204964,head pitch
head_elev_deg,head pitch SD Q4,186,30,0.2942525432772395,0.1598727260909904,0.42863236046348857,2.8695628545933328e-5,0.3937473834081874,head pitch
