participantId,b_sound_y,se,b_flash_y,n
P001,0.44611150047962583,0.289753603983044,0.27344737106987194,24
P002,0.6658660996038132,0.240388901465963,0.038827599150259934,24
P003,0.22060474521689205,0.3448483001222073,0.605182152292675,24
P004,0.5022284791288398,0.1586603008355397,0.3861089014004669,24
P005,0.5565796522761508,0.22590452455723148,0.06106047168372144,24
P006,0.002839409757858777,0.16222625960874654,0.7809241734710021,24
P007,0.2338552427997683,0.19355560910221845,0.7276455131885025,24
P008,0.4989328471885111,0.10602280136451109,0.38742034354795923,24
P009,0.5307275503878807,0.09243413618388913,0.100317349155326,24
P010,0.8113729703967174,0.22403088273014074,0.2555571660115648,24
P011,0.6651152894111966,0.1716769104704683,0.07252520221294184,24
P012,-0.009944572929168822,0.10591167828566758,0.4838248293019462,24
P013,0.3968439121461105,0.09967890999074876,0.43528855982033215,24
P014,0.2804781117753901,0.059053650176705774,0.48961846868918313,24
P015,0.1698182893771767,0.029918105760679867,0.6727410638313333,24
P016,0.13856724334115209,0.06851095924145188,0.6181950856167545,24
P017,0.17542279753111714,0.09733843864168808,0.6026177980596519,24
P018,0.29107007046483135,0.041828633004236636,0.5986185134270341,24
P019,0.3228073348889186,0.08125248430191014,0.5742808847204427,24
P020,0.6540991563025368,0.19328311492885514,0.18871120959504606,24
P021,0.5435420669348039,0.08172047832850525,0.4566917337513781,24
P022,0.6371927343730673,0.1580252225607862,0.2303239220511257,24
P023,0.22114103930371554,0.20690271607511126,0.4773227704144406,24
P024,0.6312391863723145,0.08763666598766781,0.28637688564393043,24
P025,0.6443466118384176,0.16004314321918456,0.3387883524634944,24
P026,0.7848040078730404,0.25827174076210224,0.20011581611454263,24
P027,0.5364007877028553,0.18133664214667172,0.2227655129850037,24
P028,0.11147912501706445,0.25177595665305424,0.6291818183665083,24
P029,0.6009830043763807,0.12601049086015592,0.3388541914313285,24
P030,0.4344516821574108,0.13349400841180215,0.49725169234677485,24
P031,0.32380295496459843,0.26028820805563785,0.49189640281441377,24
