subset,n,n_participants,b_source,ci_lo,ci_hi,p_source,b_cue,axis
Drum,186,31,0.37497419744253957,0.23273899937408135,0.5172093955109978,6.492739536046741e-7,0.42714718082807407,vertical
Drum,186,31,0.7558498008986334,0.6569703983139126,0.8547292034833542,6.903853017095435e-33,0.23407432020482694,lateral x
Drum,186,31,0.5240378788318646,0.418586540983256,0.6294892166804732,5.032980623961556e-18,0.48998735287889367,depth z
Flute,186,31,0.43505357886682405,0.29881998054713654,0.5712871771865116,2.8650487012030673e-09,0.47500890639731924,vertical
Flute,186,31,0.5844854721673757,0.4778314937495373,0.691139450585214,3.5245478805563356e-21,0.40329630728248284,lateral x
Flute,186,31,0.5736430445588613,0.4539307532931763,0.6933553358245463,2.4806218192623443e-17,0.346532374265146,depth z
Speech,186,31,0.3801373506193692,0.2690342677205603,0.4912404335181781,2.4971155258629127e-10,0.41652250184984874,vertical
Speech,186,31,0.6772515717757689,0.5663781317128005,0.7881250118387373,1.2289999940853116e-24,0.31866319477686916,lateral x
Speech,186,31,0.647651419652645,0.5173470261859485,0.7779558131193416,2.612841945913999e-18,0.35034146086682105,depth z
Pink Noise,186,31,0.4406882000994861,0.32456667973719305,0.5568097204617792,4.203386889821033e-12,0.34138594303787645,vertical
Pink Noise,186,31,0.6990178745086532,0.580771475287008,0.8172642737302983,1.978095970784238e-23,0.2885419354739834,lateral x
Pink Noise,186,31,0.6635952950893212,0.5451004438073676,0.7820901463712749,7.362297522601112e-22,0.2656622598616254,depth z
