q_yrange,axis,n,b_source,src_lo,src_hi,p_source,b_cue,cue_lo,cue_hi
Q1,vertical y,186,0.06605941146361882,-0.04968406994653578,0.18180289287377344,0.2648540202707331,0.3201890709480454,0.23072717953184174,0.409650962364249
Q1,lateral x,186,0.6853571246262082,0.5710528185162573,0.7996614307361591,4.0413870890555476e-24,0.3037507159160019,0.21294782799675388,0.3945536038352499
Q1,depth z,186,0.5332946620449115,0.3774680473631632,0.6891212767266598,2.391769101430277e-10,0.38816598303316624,0.2741150041976863,0.5022169618686462
Q2,vertical y,186,0.33896763042178973,0.22409354206591267,0.45384171877766677,3.234104941500219e-8,0.4157335506977016,0.32976363421347693,0.5017034671819264
Q2,lateral x,186,0.5671898287445734,0.4711057961544204,0.6632738613347263,1.7581868882237282e-23,0.40977360590820217,0.33077619676597836,0.48877101505042597
Q2,depth z,186,0.636406324368901,0.5408896311189556,0.7319230176188464,5.740673487376623e-28,0.3439465687050871,0.26401101221808576,0.42388212519208845
Q3,vertical y,186,0.5009510964191032,0.3931977078581259,0.6087044849800805,1.4169460769832957e-16,0.34940644853705577,0.26268965095490254,0.436123246119209
Q3,lateral x,186,0.7151954007317393,0.6151785044048156,0.8152122970586629,9.427471496207778e-31,0.3009374652507097,0.22167713105055004,0.38019779945086934
Q3,depth z,186,0.582876703932257,0.4779787687402527,0.6877746391242613,1.4394394613259988e-21,0.35870121778613406,0.2698558948794264,0.4475465406928417
Q4,vertical y,186,0.5663468786795066,0.42657097508834996,0.7061227822706633,1.9761665107989232e-13,0.4607295754515641,0.35048011926610473,0.5709790316370236
Q4,lateral x,186,0.7550903969305387,0.6325562680076896,0.8776245258533878,4.464140310104002e-25,0.23141183007973734,0.12929164123148443,0.3335320189279902
Q4,depth z,186,0.6774407922242486,0.5582507879299299,0.7966307965185673,5.010490237266379e-22,0.34099052771640254,0.2507775431722077,0.4312035122605974
