participantId,level,run_id,run_start,run_end,run_samples,run_duration,gap_to_next_s,gap_from_prev_s
P001,1,1,87.701,127.683,361,39.98200000000001,0.10999999999999943,NA
P001,2,2,127.793,168.297,374,40.50399999999999,0.10200000000000387,0.10999999999999943
P001,3,3,168.399,230.325,560,61.92599999999999,0.10099999999999909,0.10200000000000387
P001,4,4,230.426,277.312,423,46.886000000000024,0.11099999999999,0.10099999999999909
P001,5,5,277.423,338.057,547,60.634000000000015,0.11099999999999,0.11099999999999
P001,6,6,338.168,387.94,449,49.77199999999999,0.11200000000002319,0.11099999999999
P001,7,7,388.052,406.383,166,18.33099999999996,0.11000000000001364,0.11200000000002319
P001,8,8,406.493,494.044,789,87.55099999999999,0.11099999999999,0.11000000000001364
P001,9,9,494.155,522.82,259,28.665000000000077,0.10999999999989996,0.11099999999999
P001,10,10,522.93,548.152,228,25.222000000000094,0.11099999999999,0.10999999999989996
P001,11,11,548.263,590.703,383,42.43999999999994,0.11400000000003274,0.11099999999999
P001,12,12,590.817,643.145,472,52.327999999999975,0.11099999999999,0.11400000000003274
P001,13,13,643.256,682.253,352,38.99700000000007,0.11099999999999,0.11099999999999
P001,14,14,682.364,701.919,177,19.55499999999995,0.11000000000001364,0.11099999999999
P001,15,15,702.029,729.337,247,27.307999999999993,0.11099999999999,0.11000000000001364
P001,16,16,729.448,754.886,230,25.437999999999988,0.11099999999999,0.11099999999999
P001,17,17,754.997,770.441,140,15.444000000000074,0.11099999999999,0.11099999999999
P001,18,18,770.552,797.796,248,27.244000000000028,0.11099999999999,0.11099999999999
P001,19,19,797.907,862.348,581,64.44099999999992,0.11200000000008004,0.11099999999999
P001,20,20,862.46,887.237,224,24.77699999999993,0.11000000000001364,0.11200000000008004
P001,21,21,887.347,917.122,269,29.774999999999977,0.11000000000001364,0.11000000000001364
P001,22,22,917.232,969.759,474,52.527000000000044,0.1229999999999336,0.11000000000001364
P001,23,23,969.882,1079.271,991,109.38900000000001,0.10900000000015098,0.1229999999999336
P001,24,24,1079.38,1105.342,234,25.96199999999999,NA,0.10900000000015098
P002,1,1,223.652,269.982,420,46.33000000000004,0.1139999999999759,NA
P002,2,2,270.096,294.481,221,24.38499999999999,0.11000000000001364,0.1139999999999759
P002,3,3,294.591,336.728,381,42.137,0.1139999999999759,0.11000000000001364
P002,4,4,336.842,366.391,269,29.549000000000035,0.11099999999999,0.1139999999999759
P002,5,5,366.502,393.42,244,26.918000000000006,0.1099999999999568,0.11099999999999
P002,6,6,393.53,412.643,173,19.113,0.11100000000004684,0.1099999999999568
P002,7,7,412.754,486.233,664,73.478999999999985,0.10300000000000864,0.11100000000004684
P002,8,8,486.336,528.69,383,42.35400000000004,0.10999999999989996,0.10300000000000864
P002,9,9,528.8,556.643,252,27.843000000000075,0.11099999999999,0.10999999999989996
