"model","term","estimate","SE","df","t","p","ci_low","ci_high","ci_width"
"M0 baseline","(Intercept)",0.00867386439048672,0.0214469712644374,51.956480370626,0.404433068126007,0.687554415770264,-0.033361426865276,0.0507091556462495,0.0840705825115255
"M0 baseline","stimulusDisparity_m",0.346596423664192,0.0535140824337653,30.5049898097573,6.47673300001314,3.4313736673796e-07,0.241710749428304,0.451482097900079,0.209771348471775
"M0 baseline","soundTypeFlute",0.0120388868805103,0.0170578781432896,688.845580602789,0.705766964647144,0.480571674174965,-0.0213939399330102,0.0454717136940308,0.066865653627041
"M0 baseline","soundTypeSpeech",-0.00025015995141464,0.0170448007083159,689.249950968672,-0.0146766134550691,0.988294424253663,-0.0336573554633766,0.0331570355605473,0.0668143910239239
"M0 baseline","soundTypePink Noise",-0.0250685193184566,0.0170422135180914,689.522404770622,-1.47096615658786,0.141756464443864,-0.0584706440307574,0.00833360539384428,0.0668042494246017
"M1 disparity x soundType","(Intercept)",-0.014999841643124,0.0334172876134866,230.306459880931,-0.448864725845384,0.653951304069708,-0.0804965218265742,0.0504968385403261,0.1309933603669
"M1 disparity x soundType","stimulusDisparity_m",0.408094104068412,0.0852924848688136,162.033902783798,4.78464315696855,3.8298358848688e-06,0.24092390557361,0.575264302563214,0.334340396989604
"M1 disparity x soundType","soundTypeFlute",0.022454007500556,0.0479588177819955,706.438721994293,0.468193515582979,0.639790624917417,-0.0715435480932742,0.116451563094386,0.18799511118766
"M1 disparity x soundType","soundTypeSpeech",0.0190797718255657,0.0463373488405263,700.627047430204,0.411757951263683,0.68064277929964,-0.0717397630409347,0.109899306692066,0.181639069733001
"M1 disparity x soundType","soundTypePink Noise",0.0375161216873334,0.0461518161444157,703.959885947734,0.812885056786066,0.41655878727656,-0.0529397757768356,0.127972019151502,0.180911794928338
"M1 disparity x soundType","stimulusDisparity_m:soundTypeFlute",-0.025359080175885,0.119734951191582,708.891847661748,-0.211793464844774,0.832329043657421,-0.260035272202046,0.209317111850276,0.469352384052322
"M1 disparity x soundType","stimulusDisparity_m:soundTypeSpeech",-0.0499127996034223,0.113264971971271,705.31060110533,-0.440672864123275,0.659584874675971,-0.271908065377051,0.172082466170207,0.443990531547258
"M1 disparity x soundType","stimulusDisparity_m:soundTypePink Noise",-0.16267841198906,0.111489069946465,707.719578081039,-1.45914224656439,0.144969644536025,-0.381192973753999,0.0558361497758789,0.437029123529878
"M2 trial","(Intercept)",0.00954560731080168,0.021522969947926,51.4735461698803,0.443507904991594,0.659257076195053,-0.0326386386274711,0.0517298532490745,0.0843684918765456
"M2 trial","stimulusDisparity_m",0.344505171061004,0.0535662693081014,30.3706873522685,6.43138257546901,3.97316409087444e-07,0.239517212430952,0.449493129691056,0.209975917260104
"M2 trial","trialSequence_c",-0.00322298205189455,0.00238642074562353,708.94193264361,-1.35055063437795,0.177270360230637,-0.00790028076527589,0.00145431666148678,0.00935459742676267
