"adjust","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","ci_width"
"tukey","Drum - Flute",0.0253590801758861,0.119734951191587,708.891847661748,-0.282974596754471,0.333692757106243,0.211793464844774,0.996641238531673,0.616667353860715
"tukey","Drum - Speech",0.0499127996034246,0.113264971971276,705.31060110533,-0.241763323073886,0.341588922280735,0.440672864123275,0.971384055837526,0.583352245354622
"tukey","Drum - Pink Noise",0.162678411989067,0.11148906994647,707.719578081039,-0.124422135754662,0.449778959732797,1.45914224656439,0.462932093316969,0.574201095487459
"tukey","Flute - Speech",0.0245537194275384,0.123311888706814,709.693146041146,-0.292990203607739,0.342097642462816,0.199118833431521,0.997203422478934,0.635087846070555
"tukey","Flute - Pink Noise",0.137319331813181,0.120493427529894,708.4370940588,-0.172967997085226,0.447606660711588,1.13964167696294,0.665076253444593,0.620574657796814
"tukey","Speech - Pink Noise",0.112765612385643,0.114816456109083,709.886227289825,-0.182901291799188,0.408432516570473,0.982138068070206,0.759696059196954,0.591333808369661
"none","Drum - Flute",0.0253590801758861,0.119734951191587,708.891847661748,-0.209718472259279,0.260436632611051,0.211793464844774,0.832329043657421,0.47015510487033
"none","Drum - Speech",0.0499127996034246,0.113264971971276,705.31060110533,-0.172464069790025,0.272289668996874,0.440672864123275,0.659584874675971,0.444753738786898
"none","Drum - Pink Noise",0.162678411989067,0.11148906994647,707.719578081039,-0.0562104894535543,0.381567313431689,1.45914224656439,0.144969644536025,0.437777802885243
"none","Flute - Speech",0.0245537194275384,0.123311888706814,709.693146041146,-0.217546024383609,0.266653463238686,0.199118833431521,0.842226821428032,0.484199487622295
"none","Flute - Pink Noise",0.137319331813181,0.120493427529894,708.4370940588,-0.0992476091024914,0.373886272728854,1.13964167696294,0.254820786134264,0.473133881831345
"none","Speech - Pink Noise",0.112765612385643,0.114816456109083,709.886227289825,-0.112654839651426,0.338186064422711,0.982138068070206,0.326366433910685,0.450840904074137
