"model","term","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F."
"M0 baseline","stimulusDisparity_m",1.12991811046766,1.12991811046766,1,30.5049898097573,41.9480703534593,3.4313736673796e-07
"M0 baseline","soundType",0.135107665946448,0.0450358886488161,3,690.708026303245,1.67195180603768,0.171698738134136
"M1 disparity x soundType","stimulusDisparity_m",1.13756618650549,1.13756618650549,1,30.8224172666066,42.1959352097897,3.09994256463119e-07
"M1 disparity x soundType","soundType",0.0180524401531774,0.00601748005105915,3,706.046430811591,0.223207406630725,0.880288250722557
"M1 disparity x soundType","stimulusDisparity_m:soundType",0.0651763251820693,0.0217254417273564,3,708.017944910643,0.805865489328317,0.490814906625179
"M2 trial","stimulusDisparity_m",1.11325048542263,1.11325048542263,1,30.3706873522685,41.3626818320464,3.97316409087444e-07
"M2 trial","trialSequence_c",0.0490914597663774,0.0490914597663774,1,708.94193264361,1.82398701601868,0.177270360230637
"M2 trial","soundType",0.130904637931493,0.0436348793104976,3,688.676845426271,1.62124845516206,0.183103347942802
"M2 trial","stimulusDisparity_m:trialSequence_c",0.0593635487212465,0.0593635487212465,1,710.542800560851,2.20564518976691,0.137949855703827
"M2 centred disparity","stimDisparity_c",1.11325039283588,1.11325039283588,1,30.3706958653293,41.3626784073994,3.97316193717014e-07
"M2 centred disparity","trialSequence_c",0.000658098859129567,0.000658098859129567,1,701.626861474308,0.0244515803862517,0.875786355134287
"M2 centred disparity","soundType",0.130904639793497,0.0436348799311656,3,688.676842071208,1.62124847882661,0.183103342464317
"M2 centred disparity","stimDisparity_c:trialSequence_c",0.0593635471872862,0.0593635471872862,1,710.542800176652,2.20564513359413,0.137949860711721
"M2 random trial slope","stimulusDisparity_m",1.15397946152867,1.15397946152867,1,30.1333174987,43.7715157644093,2.47351840019909e-07
"M2 random trial slope","trialSequence_c",0.046847253964487,0.046847253964487,1,405.765112520436,1.77695997527498,0.183271023600259
"M2 random trial slope","soundType",0.120107564932504,0.0400358549775013,3,685.471565326912,1.51859726772595,0.208396600146848
"M2 random trial slope","stimulusDisparity_m:trialSequence_c",0.0600705188836091,0.0600705188836091,1,707.234663360845,2.27853072948717,0.131622698813425
