participantId,json_file,csv_file,json_stamp,csv_stamp,stamp_diff_s,json_levels,json_min,json_max,csv_levels,csv_min,csv_max,csv_samples,n_revisited_trials,median_dur_diff_s,max_abs_dur_diff_s,dur_cor,max_abs_matched_dur_diff_s,matched_dur_cor,levels_match,duration_ok,matched_duration_ok
P001,LocalizationTestData_20250829_123440.json,OculusTrajectoryData_20250829_123423.csv,2025-08-29T12:34:40Z,2025-08-29T12:34:23Z,17,24,1,24,24,1,24,9178,0,-0.11789160156254752,0.18444604492188432,0.9999984151532962,0.18444604492188432,0.9999984151532962,TRUE,TRUE,TRUE
P002,LocalizationTestData_20250829_130449.json,OculusTrajectoryData_20250829_130449.csv,2025-08-29T13:04:49Z,2025-08-29T13:04:49Z,0,24,1,24,24,1,24,11912,0,-0.11145263671875227,0.2081015624999054,0.9999983527241139,0.2081015624999054,0.9999983527241139,TRUE,TRUE,TRUE
P003,LocalizationTestData_20250829_155728.json,OculusTrajectoryData_20250829_155728.csv,2025-08-29T15:57:28Z,2025-08-29T15:57:28Z,0,24,1,24,24,1,24,10026,2,-0.10599926757805633,82.7455146484375,0.6397294450028191,0.20846289062501455,0.9999963713934308,TRUE,FALSE,TRUE
P004,LocalizationTestData_20250829_162952.json,OculusTrajectoryData_20250829_162943.csv,2025-08-29T16:29:52Z,2025-08-29T16:29:43Z,9,24,1,24,24,1,24,6196,0,-0.11180249023438193,0.18078930664063364,0.9999938783772835,0.18078930664063364,0.9999938783772835,TRUE,TRUE,TRUE
P005,LocalizationTestData_20250829_170046.json,OculusTrajectoryData_20250829_170046.csv,2025-08-29T17:00:46Z,2025-08-29T17:00:46Z,0,24,1,24,24,1,24,8893,0,-0.12380615234371817,0.20730810546871226,0.9999971351680036,0.20730810546871226,0.9999971351680036,TRUE,TRUE,TRUE
P006,LocalizationTestData_20250901_114342.json,OculusTrajectoryData_20250901_114342.csv,2025-09-01T11:43:42Z,2025-09-01T11:43:42Z,0,24,1,24,24,1,24,8108,0,-0.11391577148435772,0.19339453124996453,0.9999978799057228,0.19339453124996453,0.9999978799057228,TRUE,TRUE,TRUE
P007,LocalizationTestData_20250901_115936.json,OculusTrajectoryData_20250901_115936.csv,2025-09-01T11:59:36Z,2025-09-01T11:59:36Z,0,24,1,24,24,1,24,6588,0,-0.1124548339843443,0.20315039062506912,0.9999897085719441,0.20315039062506912,0.9999897085719441,TRUE,TRUE,TRUE
P008,LocalizationTestData_20250902_123240.json,OculusTrajectoryData_20250902_123240.csv,2025-09-02T12:32:40Z,2025-09-02T12:32:40Z,0,24,1,24,24,1,24,8395,2,-0.1207425537109259,171.30519824218754,0.47898302591296377,0.19634521484374545,0.9999963861440994,TRUE,FALSE,TRUE
P009,LocalizationTestData_20250902_135209.json,OculusTrajectoryData_20250902_135209.csv,2025-09-02T13:52:09Z,2025-09-02T13:52:09Z,0,24,1,24,24,1,24,8970,0,-0.11145092773438137,0.19369580078125637,0.9999952846370203,0.19369580078125637,0.9999952846370203,TRUE,TRUE,TRUE
P010,LocalizationTestData_20250902_141521.json,OculusTrajectoryData_20250902_141521.csv,2025-09-02T14:15:21Z,2025-09-02T14:15:21Z,0,24,1,24,24,1,24,7738,0,-0.11114965820314637,0.19547460937502592,0.9999974741896035,0.19547460937502592,0.9999974741896035,TRUE,TRUE,TRUE
P011,LocalizationTestData_20250904_114115.json,OculusTrajectoryData_20250904_114115.csv,2025-09-04T11:41:15Z,2025-09-04T11:41:15Z,0,24,1,24,24,1,24,6701,0,-0.11106549072266603,0.18130078125000182,0.9999952818126017,0.18130078125000182,0.9999952818126017,TRUE,TRUE,TRUE
P012,LocalizationTestData_20250904_121410.json,OculusTrajectoryData_20250904_121410.csv,2025-09-04T12:14:10Z,2025-09-04T12:14:10Z,0,24,1,24,24,1,24,10146,0,-0.1136395263671659,0.19388696289064455,0.9999992422645806,0.19388696289064455,0.9999992422645806,TRUE,TRUE,TRUE
P013,LocalizationTestData_20250904_124503.json,OculusTrajectoryData_20250904_124503.csv,2025-09-04T12:45:03Z,2025-09-04T12:45:03Z,0,24,1,24,24,1,24,4824,0,-0.10733898925781205,0.21366650390626774,0.9999917961325508,0.21366650390626774,0.9999917961325508,TRUE,TRUE,TRUE
P014,LocalizationTestData_20250905_123607.json,OculusTrajectoryData_20250905_123607.csv,2025-09-05T12:36:07Z,2025-09-05T12:36:07Z,0,24,1,24,24,1,24,7386,0,-0.12481127929684988,0.193244873046865,0.9999970902954826,0.193244873046865,0.9999970902954826,TRUE,TRUE,TRUE
P015,LocalizationTestData_20250905_125056.json,OculusTrajectoryData_20250905_125056.csv,2025-09-05T12:50:56Z,2025-09-05T12:50:56Z,0,24,1,24,24,1,24,4217,0,-0.10473297119139602,0.20830810546874545,0.9999789919147521,0.20830810546874545,0.9999789919147521,TRUE,TRUE,TRUE
P016,LocalizationTestData_20250905_130245.json,OculusTrajectoryData_20250905_130245.csv,2025-09-05T13:02:45Z,2025-09-05T13:02:45Z,0,24,1,24,24,1,24,4449,0,-0.11178234863280068,0.16671423339843727,0.9999873514387989,0.16671423339843727,0.9999873514387989,TRUE,TRUE,TRUE
P017,LocalizationTestData_20250905_131336.json,OculusTrajectoryData_20250905_131336.csv,2025-09-05T13:13:36Z,2025-09-05T13:13:36Z,0,24,1,24,24,1,24,4545,0,-0.11079992675783501,0.20837304687501046,0.9999826422498229,0.20837304687501046,0.9999826422498229,TRUE,TRUE,TRUE
P018,LocalizationTestData_20250908_101535.json,OculusTrajectoryData_20250908_101535.csv,2025-09-08T10:15:35Z,2025-09-08T10:15:35Z,0,24,1,24,24,1,24,5254,0,-0.11051989746096069,0.19760937499998477,0.9999928364326884,0.19760937499998477,0.9999928364326884,TRUE,TRUE,TRUE
P019,LocalizationTestData_20250908_103017.json,OculusTrajectoryData_20250908_103017.csv,2025-09-08T10:30:17Z,2025-09-08T10:30:17Z,0,24,1,24,24,1,24,6990,0,-0.12264648437496817,0.1805035095214791,0.9999976073312212,0.1805035095214791,0.9999976073312212,TRUE,TRUE,TRUE
P020,LocalizationTestData_20250908_124341.json,OculusTrajectoryData_20250908_124342.csv,2025-09-08T12:43:41Z,2025-09-08T12:43:42Z,-1,24,1,24,24,1,24,7377,0,-0.11247998046874841,0.2085173339843749,0.9999975087520003,0.2085173339843749,0.9999975087520003,TRUE,TRUE,TRUE
P021,LocalizationTestData_20250908_130826.json,OculusTrajectoryData_20250908_130826.csv,2025-09-08T13:08:26Z,2025-09-08T13:08:26Z,0,24,1,24,24,1,24,4324,0,-0.10984436035158751,0.20882495117189137,0.9999849239583556,0.20882495117189137,0.9999849239583556,TRUE,TRUE,TRUE
P022,LocalizationTestData_20250908_133419.json,OculusTrajectoryData_20250908_133419.csv,2025-09-08T13:34:19Z,2025-09-08T13:34:19Z,0,24,1,24,24,1,24,6759,0,-0.11828515624998204,0.1972177734375009,0.9999962141365026,0.1972177734375009,0.9999962141365026,TRUE,TRUE,TRUE
P023,LocalizationTestData_20250908_140359.json,OculusTrajectoryData_20250908_140359.csv,2025-09-08T14:03:59Z,2025-09-08T14:03:59Z,0,24,1,24,24,1,24,11110,0,-0.11305371093749272,0.2103051757811727,0.9999981323008896,0.2103051757811727,0.9999981323008896,TRUE,TRUE,TRUE
P024,LocalizationTestData_20250909_110637.json,OculusTrajectoryData_20250909_110637.csv,2025-09-09T11:06:37Z,2025-09-09T11:06:37Z,0,24,1,24,24,1,24,6750,0,-0.11769335937498226,0.18100073242186454,0.9999943725886316,0.18100073242186454,0.9999943725886316,TRUE,TRUE,TRUE
P025,LocalizationTestData_20250909_114954.json,OculusTrajectoryData_20250909_114954.csv,2025-09-09T11:49:54Z,2025-09-09T11:49:54Z,0,24,1,24,24,1,24,15031,0,-0.11107885742194412,0.19442675781237995,0.9999996288476692,0.19442675781237995,0.9999996288476692,TRUE,TRUE,TRUE
P026,LocalizationTestData_20250909_123047.json,OculusTrajectoryData_20250909_123047.csv,2025-09-09T12:30:47Z,2025-09-09T12:30:47Z,0,24,1,24,24,1,24,17230,0,-0.119036132812397,0.18000891113283046,0.9999991176450896,0.18000891113283046,0.9999991176450896,TRUE,TRUE,TRUE
P027,LocalizationTestData_20250909_130055.json,OculusTrajectoryData_20250909_130055.csv,2025-09-09T13:00:55Z,2025-09-09T13:00:55Z,0,24,1,24,24,1,24,6096,0,-0.11086193847654613,0.1665778808593359,0.9999954091833039,0.1665778808593359,0.9999954091833039,TRUE,TRUE,TRUE
P028,LocalizationTestData_20250909_132554.json,OculusTrajectoryData_20250909_132555.csv,2025-09-09T13:25:54Z,2025-09-09T13:25:55Z,-1,24,1,24,24,1,24,9401,0,-0.11883666992187614,0.20801562500003,0.9999991624537171,0.20801562500003,0.9999991624537171,TRUE,TRUE,TRUE
P029,LocalizationTestData_20250911_115754.json,OculusTrajectoryData_20250911_115754.csv,2025-09-11T11:57:54Z,2025-09-11T11:57:54Z,0,24,1,24,24,1,24,5402,0,-0.11224353027344591,0.18409765625006003,0.9999952676063948,0.18409765625006003,0.9999952676063948,TRUE,TRUE,TRUE
P030,LocalizationTestData_20250911_125055.json,OculusTrajectoryData_20250911_125055.csv,2025-09-11T12:50:55Z,2025-09-11T12:50:55Z,0,24,1,24,24,1,24,12659,2,-0.10562011718752728,102.18718212890627,0.7143569616924248,0.19492529296871908,0.9999995205631155,TRUE,FALSE,TRUE
P031,LocalizationTestData_20250911_131404.json,OculusTrajectoryData_20250911_131404.csv,2025-09-11T13:14:04Z,2025-09-11T13:14:04Z,0,24,1,24,24,1,24,9011,0,-0.11746557617186681,0.19387207031252274,0.9999977135978071,0.19387207031252274,0.9999977135978071,TRUE,TRUE,TRUE
