"model","term","se_bobyqa","se_nloptwrap","se_ratio","beta_abs_diff"
"(a)/(b) sound type","(Intercept)",0.0214469712644374,0.0214469308557949,0.999998115881167,2.49564351718912e-08
"(a)/(b) sound type","stimulusDisparity_m",0.0535140824337653,0.053513919127702,0.999996948353481,8.11961393676341e-08
"(a)/(b) sound type","soundTypeFlute",0.0170578781432896,0.0170578799166072,1.00000010395887,7.6107641924783e-09
"(a)/(b) sound type","soundTypeSpeech",0.0170448007083159,0.0170448024632499,1.00000010296008,1.62622050699744e-08
"(a)/(b) sound type","soundTypePink Noise",0.0170422135180914,0.0170422152589762,1.00000010215133,2.04156163086111e-08
"(c) spatial configuration","(Intercept)",0.0270618519377713,0.0270618520317719,1.00000000347355,8.09556471338679e-11
"(c) spatial configuration","stimulusDisparity_m",0.0416811824800488,0.0416811824500883,0.999999999281198,2.92794677392294e-11
"(c) spatial configuration","azimuthSectorRight",0.0177336944212341,0.0177336944110076,0.999999999423329,3.1027251514576e-11
"(c) spatial configuration","azimuthSectorBack",0.0181706921660429,0.0181706921589046,0.999999999607156,1.47118428550641e-10
"(c) spatial configuration","azimuthSectorLeft",0.0183106620630675,0.0183106620537032,0.999999999488588,1.17280560263389e-11
"(c) spatial configuration","elevationCategoryLevel",0.0156568283979853,0.0156568283956065,0.999999999848071,9.56922171168294e-11
"(c) spatial configuration","elevationCategoryAbove",0.0165874704003841,0.0165874703919958,0.999999999494296,1.22604127371362e-11
"(c) spatial configuration","soundTypeFlute",0.017371342375716,0.0173713423619072,0.999999999205081,3.09827510869276e-12
"(c) spatial configuration","soundTypeSpeech",0.0174319816224051,0.0174319816086037,0.999999999208271,4.70619246698001e-12
"(c) spatial configuration","soundTypePink Noise",0.0173161813470739,0.0173161813332872,0.999999999203825,7.29187543679899e-13
