measure,n,mean,sd,min,q25,median,q75,max
total_path_length,744,8.362052835680778,6.205816568283467,0.025419355028286815,4.459236432898587,6.685924522872607,10.208581252199751,46.09406946260561
horizontal_movement,744,7.337193040580694,5.437888210757502,0.021031602087416498,3.865377835774274,5.8288217070925565,8.967161560538742,43.90795606463094
vertical_movement,744,2.4327528037634405,2.1360593155160905,0.012235999999999692,0.9130044999999997,1.8327609999999988,3.2857117499999995,16.724417999999996
total_yaw_rotation,744,872.7731342822581,655.1289964903051,4.079619000000017,411.76801249999994,697.2163360000001,1138.4559075000004,5419.8961259999905
total_pitch_rotation,744,2818.5921316505373,2847.147247108063,5.642542999999998,840.9517892499998,2074.646103,3957.8064219999997,34653.891122999994
x_range,744,1.0547760819892473,0.44429270339344623,0.012906999999999998,0.7739107500000001,1.006703,1.28134825,5.185759
y_range,744,0.4719152298387097,0.29950992817518474,0.011147999999999936,0.19248400000000004,0.44402850000000005,0.7297057500000002,1.3885449999999997
z_range,744,0.9467734865591397,0.40715815334848093,0.007125999999999966,0.6518537499999999,0.912725,1.191381,3.058289
exploration_volume,744,0.5894400856034752,0.7375193783700545,1.025340443735989e-6,0.12984193277430517,0.32439972650541204,0.81553817988073,5.623448130074517
trajectory_duration,744,37.85374059139786,28.177870078104522,1.0030000000000001,19.64024999999998,29.971000000000004,44.78174999999999,230.596
n_samples,744,338.26075268817203,239.9982711186566,10,178.75,271.5,404.25,2081
movement_rate,744,0.22717573089253085,0.06418134172254755,0.02534332505312743,0.18204012830476585,0.22916675387185148,0.27228730727440964,0.4367067244916512
participant_mean_rate,744,0.22717573089253076,0.04069175071522281,0.12879388406890407,0.21210108543180417,0.22715662241694953,0.2601121701220512,0.29757343599390135
trial_rate_deviation,744,5.968940992608369e-19,0.04963291296142708,-0.20880264364677828,-0.03056448983440664,-0.00136393829949423,0.030470230082783697,0.17544291312481863
