"model","term","estimate","se","ci_lo","ci_hi"
"M1 metric (per m)","(Intercept)",0.00867386439048672,0.0214469712644374,-0.0333621992878106,0.050709928068784
"M1 metric (per m)","stimulusDisparity_m",0.346596423664192,0.0535140824337653,0.241708822094012,0.451484025234372
"M1 metric (per m)","soundTypeFlute",0.0120388868805103,0.0170578781432896,-0.0213945542803372,0.0454723280413579
"M1 metric (per m)","soundTypeSpeech",-0.00025015995141464,0.0170448007083159,-0.0336579693397138,0.0331576494368845
"M1 metric (per m)","soundTypePink Noise",-0.0250685193184566,0.0170422135180914,-0.0584712578139158,0.00833421917700263
"M2 angular (per 10 deg)","(Intercept)",0.0261521965934667,0.0214110535935453,-0.0158134684498822,0.0681178616368156
"M2 angular (per 10 deg)","ang10",0.0273953850505436,0.00442001522231116,0.0187321552148137,0.0360586148862735
"M2 angular (per 10 deg)","soundTypeFlute",0.0107871347350911,0.017042719811255,-0.0226165960949687,0.0441908655651509
"M2 angular (per 10 deg)","soundTypeSpeech",-0.00127521799710551,0.017070227426978,-0.0347328637539823,0.0321824277597713
"M2 angular (per 10 deg)","soundTypePink Noise",-0.0246923797447525,0.0170256101258104,-0.0580625755913409,0.00867781610183588
