"angular_disparity_deg","displacement_avg_cm","displacement_avg_lo_cm","displacement_avg_hi_cm","displacement_p10_cm","displacement_p10_lo_cm","displacement_p10_hi_cm","displacement_p90_cm","displacement_p90_lo_cm","displacement_p90_hi_cm","n_trials_within_2p5deg"
20,7.715,4.991,10.323,7.459,0.346,13.406,7.971,1.834,15.158,61
25,9.085,6.504,11.618,7.772,1.185,13.549,10.397,4.538,17.053,81
30,10.454,7.993,12.925,8.086,1.871,13.777,12.823,6.929,19.049,70
35,11.824,9.341,14.344,8.4,2.567,13.997,15.248,9.333,21.179,58
40,13.194,10.633,15.829,8.714,3.021,14.464,17.674,11.499,23.418,65
45,14.564,11.876,17.292,9.027,3.441,14.868,20.1,13.772,25.68,64
50,15.933,13.011,18.863,9.341,3.812,15.433,22.526,16.007,28.102,58
55,17.303,14.089,20.5,9.655,3.891,16.083,24.952,18.196,30.673,60
60,18.673,15.149,22.138,9.968,3.961,16.777,27.377,20.313,33.306,39
65,20.043,16.286,23.853,10.282,3.968,17.535,29.803,22.315,36.11,33
70,21.412,17.341,25.543,10.596,3.989,18.306,32.229,24.33,39.119,28
