# generated by rscripts/revision/regenerate_tolerance_lookup.R (slope-only random-effects structure; supersedes the full-covariance table preserved as tolerance_lookup_nominal_fullcov_superseded.csv)
"disparity_cm","displacement_avg_cm","displacement_avg_lo_cm","displacement_avg_hi_cm","displacement_p10_cm","displacement_p10_lo_cm","displacement_p10_hi_cm","displacement_p90_cm","displacement_p90_lo_cm","displacement_p90_hi_cm","traversed_avg_pct","traversed_p10_pct","traversed_p90_pct","residual_gap_avg_cm","residual_gap_p90_cm","n_trials","ang_mean_deg","ang_median_deg","ang_q25_deg","ang_q75_deg","angOnset_median_deg"
15,5.688,3.342,8.034,2.642,0.221,5.299,8.734,6.156,11.289,37.92,17.612,58.229,9.312,6.266,48,19.634,17.699,14.28,21.036,11.1
20,7.43,5.257,9.602,3.368,0.877,6.053,11.491,8.904,13.976,37.148,16.839,57.457,12.57,8.509,78,25.682,24.908,18.368,30.785,14.472
25,9.171,7.068,11.274,4.094,1.526,6.868,14.248,11.516,16.833,36.685,16.376,56.994,15.829,10.752,88,30.151,28.288,22.734,37.389,17.172
30,10.913,8.767,13.059,4.82,2.025,7.796,17.005,14.041,19.815,36.376,16.067,56.685,19.087,12.995,68,37.574,34.907,25.385,49.844,19.866
35,12.654,10.359,14.95,5.546,2.446,8.805,19.763,16.473,23.006,36.155,15.847,56.464,22.346,15.237,142,42.176,42.559,28.767,53.22,23.795
40,14.396,11.863,16.929,6.272,2.767,10.019,22.52,18.796,26.15,35.99,15.681,56.299,25.604,17.48,82,42.431,42.437,34.357,50.365,22.696
45,16.138,13.301,18.974,6.999,3.059,11.169,25.277,21.093,29.258,35.861,15.552,56.17,28.862,19.723,44,49.875,50.285,38.772,59.175,24.246
50,17.879,14.692,21.067,7.725,3.272,12.347,28.034,23.414,32.414,35.758,15.449,56.067,32.121,21.966,48,52.803,50.692,43.678,64.752,30.202
55,19.621,16.049,23.192,8.451,3.559,13.633,30.791,25.651,35.671,35.674,15.365,55.983,35.379,24.209,40,59.698,59.181,45.556,73.494,40.812
60,21.362,17.383,25.341,9.177,3.862,14.905,33.548,27.856,38.928,35.604,15.295,55.913,38.638,26.452,46,58.003,56.646,47.915,68.897,33.346
65,23.104,18.7,27.508,9.903,4.065,16.261,36.305,30.078,42.179,35.544,15.236,55.853,41.896,28.695,30,65.267,66.461,48.401,84.156,34.601
70,24.846,20.005,29.686,10.629,4.365,17.629,39.062,32.268,45.411,35.494,15.185,55.802,45.154,30.938,30,69.013,67.885,56.936,78.018,44.233
