"disparity_cm","displacement_avg_cm","displacement_avg_lo_cm","displacement_avg_hi_cm","displacement_p10_cm","displacement_p10_lo_cm","displacement_p10_hi_cm","displacement_p90_cm","displacement_p90_lo_cm","displacement_p90_hi_cm","traversed_avg_pct","traversed_p10_pct","traversed_p90_pct","residual_gap_avg_cm","residual_gap_p90_cm","n_trials","ang_mean_deg","ang_median_deg","ang_q25_deg","ang_q75_deg","angOnset_median_deg"
15,5.734,3.174,8.216,5.249,-0.308,10.995,6.22,0.383,12.111,38.229,34.991,41.467,9.266,8.78,48,19.634,17.699,14.28,21.036,11.1
20,7.467,5.08,9.776,5.763,0.75,11.162,9.171,3.669,14.416,37.337,28.816,45.857,12.533,10.829,78,25.682,24.908,18.368,30.785,14.472
25,9.2,6.968,11.422,6.278,1.839,11.45,12.123,6.87,16.759,36.801,25.111,48.491,15.8,12.877,88,30.151,28.288,22.734,37.389,17.172
30,10.933,8.699,13.125,6.792,2.522,11.747,15.074,9.961,19.239,36.444,22.641,50.247,19.067,14.926,68,37.574,34.907,25.385,49.844,19.866
35,12.666,10.286,14.964,7.307,3.262,12.249,18.026,12.995,22.029,36.189,20.877,51.502,22.334,16.974,142,42.176,42.559,28.767,53.22,23.795
40,14.399,11.831,16.892,7.822,3.556,13.25,20.977,15.755,25.081,35.998,19.554,52.442,25.601,19.023,82,42.431,42.437,34.357,50.365,22.696
45,16.132,13.345,18.926,8.336,3.814,13.906,23.928,18.331,28.449,35.849,18.525,53.174,28.868,21.072,44,49.875,50.285,38.772,59.175,24.246
50,17.865,14.743,20.944,8.851,4.002,14.733,26.88,20.941,31.887,35.73,17.701,53.759,32.135,23.12,48,52.803,50.692,43.678,64.752,30.202
55,19.598,16.094,23.019,9.365,4.025,15.721,29.831,23.27,35.492,35.633,17.028,54.238,35.402,25.169,40,59.698,59.181,45.556,73.494,40.812
60,21.331,17.343,25.184,9.88,4.041,16.849,32.782,25.792,39,35.552,16.466,54.637,38.669,27.218,46,58.003,56.646,47.915,68.897,33.346
65,23.064,18.719,27.384,10.394,3.903,18.032,35.734,28.205,42.606,35.483,15.991,54.975,41.936,29.266,30,65.267,66.461,48.401,84.156,34.601
70,24.797,20.067,29.538,10.909,3.769,19.194,38.685,30.572,46.328,35.424,15.584,55.265,45.203,31.315,30,69.013,67.885,56.936,78.018,44.233
