"disparity_cm","n_trials","ang_mean_deg","ang_median_deg","ang_q25_deg","ang_q75_deg","angOnset_median_deg"
15,48,19.6339057846413,17.6994177009478,14.2797285384918,21.0364502299643,11.099611844268
20,78,25.6820611414723,24.9084411329687,18.367678061196,30.785460255667,14.4721327438893
25,88,30.1511292050321,28.2875737789705,22.7336167361903,37.3885966337878,17.1717547322601
30,68,37.5736313721071,34.9070585921767,25.385300808612,49.8441287762114,19.8660785002827
35,142,42.176134434403,42.5593990442288,28.7665923711303,53.2204590401884,23.7951834414727
40,82,42.430582844872,42.4371199863888,34.3568720131012,50.3648628549175,22.6962089356773
45,44,49.8745195066975,50.2848115397281,38.7722550384149,59.17453686229,24.245771968407
50,48,52.8032707036406,50.6918974719803,43.677983129558,64.7517071356439,30.2018853100425
55,40,59.6975521441908,59.1810058840947,45.5562143666074,73.4936619570499,40.8119004994135
60,46,58.0031776233563,56.6458208217926,47.9150746200419,68.8973800047063,33.3457220005797
65,30,65.2669406773137,66.4610780347787,48.40099523087,84.1555318644606,34.6012588707431
70,30,69.0132481721339,67.884696863466,56.9357099155536,78.0182391655885,44.2326873209448
