"disparity_cm","p10_normal_cm","p50_normal_cm","p90_normal_cm","p10_empirical_cm","p50_empirical_cm","p90_empirical_cm"
15,2.642,5.688,8.734,2.996,5.472,8.097
20,3.368,7.43,11.491,3.841,7.141,10.642
25,4.094,9.171,14.248,4.685,8.811,13.187
30,4.82,10.913,17.005,5.53,10.48,15.732
35,5.546,12.654,19.763,6.374,12.15,18.276
40,6.272,14.396,22.52,7.218,13.819,20.821
45,6.999,16.138,25.277,8.063,15.489,23.366
50,7.725,17.879,28.034,8.907,17.158,25.911
55,8.451,19.621,30.791,9.751,18.828,28.455
60,9.177,21.362,33.548,10.596,20.497,31
65,9.903,23.104,36.305,11.44,22.166,33.545
70,10.629,24.846,39.062,12.284,23.836,36.089
