participantId,level,run_id,run_start,run_end,run_samples,run_duration,levelTime,n_runs,run_dur_diff,is_matched_run
P001,1,1,87.701,127.683,361,39.98200000000001,40.106475830078125,1,-0.12447583007811147,TRUE
P001,2,2,127.793,168.297,374,40.50399999999999,40.688446044921875,1,-0.18444604492188432,TRUE
P001,3,3,168.399,230.325,560,61.92599999999999,62.02711486816406,1,-0.10111486816407478,TRUE
P001,4,4,230.426,277.312,423,46.886000000000024,46.92765808105469,1,-0.0416580810546634,TRUE
P001,5,5,277.423,338.057,547,60.634000000000015,60.814422607421875,1,-0.18042260742186045,TRUE
P001,6,6,338.168,387.94,449,49.77199999999999,49.856048583984375,1,-0.08404858398438364,TRUE
P001,7,7,388.052,406.383,166,18.33099999999996,18.372802734375,1,-0.04180273437503956,TRUE
P001,8,8,406.493,494.044,789,87.55099999999999,87.67529296875,1,-0.12429296875001228,TRUE
P001,9,9,494.155,522.82,259,28.665000000000077,28.789642333984375,1,-0.12464233398429769,TRUE
P001,10,10,522.93,548.152,228,25.222000000000094,25.35955810546875,1,-0.13755810546865632,TRUE
P001,11,11,548.263,590.703,383,42.43999999999994,42.5792236328125,1,-0.13922363281255912,TRUE
P001,12,12,590.817,643.145,472,52.327999999999975,52.45556640625,1,-0.12756640625002547,TRUE
P001,13,13,643.256,682.253,352,38.99700000000007,39.06640625,1,-0.06940624999992906,TRUE
P001,14,14,682.364,701.919,177,19.55499999999995,19.66558837890625,1,-0.11058837890630002,TRUE
P001,15,15,702.029,729.337,247,27.307999999999993,27.40460205078125,1,-0.09660205078125728,TRUE
P001,16,16,729.448,754.886,230,25.437999999999988,25.549072265625,1,-0.11107226562501182,TRUE
P001,17,17,754.997,770.441,140,15.444000000000074,15.61029052734375,1,-0.16629052734367633,TRUE
P001,18,18,770.552,797.796,248,27.244000000000028,27.28594970703125,1,-0.041949707031221806,TRUE
P001,19,19,797.907,862.348,581,64.44099999999992,64.552490234375,1,-0.11149023437508276,TRUE
P001,20,20,862.46,887.237,224,24.77699999999993,24.9154052734375,1,-0.13840527343757003,TRUE
P001,21,21,887.347,917.122,269,29.774999999999977,29.85760498046875,1,-0.08260498046877274,TRUE
P001,22,22,917.232,969.759,474,52.527000000000044,52.692626953125,1,-0.16562695312495634,TRUE
P001,23,23,969.882,1079.271,991,109.38900000000001,109.52386474609375,1,-0.13486474609374,TRUE
P001,24,24,1079.38,1105.342,234,25.96199999999999,26.031494140625,1,-0.06949414062501091,TRUE
P002,1,1,223.652,269.982,420,46.33000000000004,46.52601623535156,1,-0.19601623535152157,TRUE
P002,2,2,270.096,294.481,221,24.38499999999999,24.443572998046875,1,-0.058572998046884095,TRUE
P002,3,3,294.591,336.728,381,42.137,42.302703857421875,1,-0.16570385742187455,TRUE
P002,4,4,336.842,366.391,269,29.549000000000035,29.6492919921875,1,-0.10029199218746498,TRUE
P002,5,5,366.502,393.42,244,26.918000000000006,27.0555419921875,1,-0.13754199218749363,TRUE
P002,6,6,393.53,412.643,173,19.113,19.168701171875,1,-0.055701171875000455,TRUE
P002,7,7,412.754,486.233,664,73.478999999999985,73.636993408203125,1,-0.15799340820314,TRUE
