"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.82976407202737,0.0954507833698952,29.6463158511894,3.78345417601367e-193
"stimDisparity_c",0.257338900505582,0.160163140031246,1.60672986590659,0.108113639079674
"soundTypeFlute",-0.14405333417571,0.0661538236488858,-2.17755114111437,0.0294394704405665
"soundTypeSpeech",-0.0909716785808044,0.0668368995587026,-1.36109961984254,0.17348220979119
"soundTypePink Noise",-0.0624783344320754,0.0658789435266735,-0.948380940668527,0.342935558633449
"trialSequence_c",-0.0077648911501949,0.00335412000801202,-2.31503080737923,0.020611246143844
"azimuthSectorRight",0.0333230272559128,0.0679656068156554,0.49029249965053,0.623926933680262
"azimuthSectorBack",-0.0143699438048015,0.0692584752545647,-0.207482820723149,0.835632807841387
"azimuthSectorLeft",-0.0448318009680998,0.0689443230854322,-0.650260949150905,0.515523677182
"elevationCategoryLevel",-0.0503080691299635,0.0603226113819774,-0.8339836087566,0.404290220547567
"elevationCategoryAbove",-0.00947974109441358,0.0634654475903775,-0.149368537595422,0.881262836555337
