"model","term","estimate","se","z","p"
"slope: trialSequence_c","stimDisparity_c",1.16789768838757,0.130503989119274,8.94913401704656,3.58281960658935e-19
"slope: trialSequence_c","trialSequence_c",-0.00916378513652748,0.00302871948178795,-3.02563020168438,0.00248115553002295
"slope: trialSequence_c","soundTypeFlute",-0.0602838126916303,0.0540278373326875,-1.11579170419908,0.264511305622839
"slope: trialSequence_c","soundTypeSpeech",-0.0684512767466752,0.0545208906596317,-1.25550547539675,0.209295321678552
"slope: trialSequence_c","soundTypePink Noise",-0.0988266604563748,0.0536799294902748,-1.84103558620134,0.0656163439418505
"slope: stimDisparity_c","stimDisparity_c",1.15851707994345,0.15957504159953,7.26001427498211,3.87049474434188e-13
"slope: stimDisparity_c","trialSequence_c",-0.00934394407242187,0.00270292274645817,-3.45697785283205,0.000546269742312883
"slope: stimDisparity_c","soundTypeFlute",-0.0549157806945441,0.0536598215813779,-1.0234059502278,0.306115947227446
"slope: stimDisparity_c","soundTypeSpeech",-0.0589815997178205,0.0538269685757378,-1.09576298421543,0.273182511309827
"slope: stimDisparity_c","soundTypePink Noise",-0.0926223525788406,0.0533823832470078,-1.73507338835481,0.0827278071810151
"slope: soundType","stimDisparity_c",1.16035118688791,0.127675879167856,9.08825687710675,1.00639532882552e-19
"slope: soundType","trialSequence_c",-0.0089645615856348,0.00271251919194053,-3.30488411373104,0.000950156780802602
"slope: soundType","soundTypeFlute",-0.0723955447179522,0.070152718489625,-1.03197062461177,0.302085878922634
"slope: soundType","soundTypeSpeech",-0.0682328409496771,0.057488119598457,-1.18690333631139,0.235265751192532
"slope: soundType","soundTypePink Noise",-0.102021530569878,0.05846005590452,-1.74514938433354,0.0809588691799605
