"quantity","reported","recomputed","abs_diff","tol","matches"
"A0pub slope",0.3466,0.346596423664192,3.57633580833072e-06,1e-04,TRUE
"A0pub SE",0.05351,0.0535140824337653,4.08243376534556e-06,1e-04,TRUE
"A0pub t",6.477,6.47673300001314,0.000266999986856753,0.005,TRUE
"A0pub CI lo",0.2417,0.241710749428304,1.07494283040632e-05,5e-04,TRUE
"A0pub CI hi",0.4515,0.451482097900079,1.79020999206969e-05,5e-04,TRUE
"A0pub intercept (m)",0.0086739,0.00867386439048672,3.56095132807849e-08,1e-05,TRUE
"A0pub intercept p",0.6876,0.687554415770264,4.55842297359954e-05,5e-04,TRUE
"B1 slope (deg/deg)",0.3359,0.335877113382728,2.28866172718445e-05,0.002,TRUE
"B1 SE",0.066,0.0659591977138695,4.08022861305285e-05,0.002,TRUE
"B1 Wald CI lo",0.2066,0.206599460394662,5.39605338356619e-07,0.003,TRUE
"B1 Wald CI hi",0.4651,0.465154766370795,5.47663707946011e-05,0.003,TRUE
"B1 F",25.93,25.9304524780732,0.000452478073174944,0.2,TRUE
"B2m slope",0.42936,0.429356926340867,3.07365913287949e-06,0.002,TRUE
"B2m CI lo",0.2977,0.297655337893119,4.46621068809772e-05,0.003,TRUE
"B2m CI hi",0.5611,0.561058514788615,4.14852113848063e-05,0.003,TRUE
"B2 slope",0.32298,0.322979873943994,1.26056005911312e-07,0.002,TRUE
"B0 slope (deg/m)",24.386,24.3859756156811,2.43843189231541e-05,0.05,TRUE
"A1 slope (m/deg)",0.001208,0.00120837524791101,3.75247911010021e-07,2e-05,TRUE
"A2 slope (m/deg)",0.00274,0.00273954058122388,4.59418776119214e-07,2e-05,TRUE
"A0 AIC",-510.473,-510.472639008906,0.000360991094282781,0.05,TRUE
"A1 AIC",-447.261,-447.260745332377,0.000254667622812121,0.05,TRUE
"A2 AIC",-508.038,-508.038300562137,0.000300562136885674,0.05,TRUE
"B0 AIC",6889.209,6889.20927280431,0.0002728043073148,0.2,TRUE
"B1 AIC",6810.081,6810.08120893778,0.000208937778552354,0.2,TRUE
"B2 AIC",6847.3,6847.30641711294,0.00641711294156266,0.3,TRUE
"B1 vs B0 dAIC",79.13,79.1280638665285,0.00193613347153132,0.3,TRUE
"A0 R2m",0.08173,0.0817270830562808,2.91694371915008e-06,0.001,TRUE
"A0 R2c",0.2108,0.210797453197731,2.54680226866033e-06,0.001,TRUE
"B1 R2m",0.09898,0.0989815645733505,1.56457335052929e-06,0.001,TRUE
"B1 R2c",0.18335,0.183346465857066,3.53414293413623e-06,0.001,TRUE
"B0 R2m",0.02492,0.0249221636782804,2.16367828036537e-06,0.001,TRUE
"A1 R2m",0.02671,0.026705566910395,4.43308960504374e-06,0.001,TRUE
"A2 R2m",0.08895,0.0889453430430279,4.65695697209056e-06,0.001,TRUE
"B2m R2m",0.1403,0.140255708399665,4.42916003350335e-05,0.0015,TRUE
"LRT B: angular added to nominal chi2",48.4194,48.4193960102912,3.98970883708216e-06,0.05,TRUE
"LRT B: nominal added to angular chi2",0.10872,0.108721746834817,1.74683481717064e-06,0.01,TRUE
"LRT A: time-mean added to nominal chi2",12.34507,12.3450664950764,3.50492363310195e-06,0.05,TRUE
"LRT A: nominal added to onset angular chi2",55.93277,55.9327705532078,5.53207833320357e-07,0.05,TRUE
"LRT A: onset angular added to nominal chi2",0.095,0.0953895709732251,0.00038957097322509,0.01,TRUE
"B1 profile CI lo",0.206,0.205993251841573,6.74815842738319e-06,0.003,TRUE
"B1 profile CI hi",0.4681,0.468058854561564,4.11454384355303e-05,0.003,TRUE
"within-trial range mean",91.1,91.0655955189947,0.034404481005339,0.05,TRUE
"within-trial range SD",45.5,45.540074535816,0.0400745358159753,0.05,TRUE
"within-trial range median",87.7,87.6591502464915,0.0408497535085104,0.05,TRUE
"pct range > 30 deg",89.9,89.9193548387097,0.019354838709674,0.1,TRUE
"pct range > 90 deg",48.3,48.252688172043,0.0473118279569817,0.1,TRUE
"median range / onset ratio",3.36,3.35673324698037,0.0032667530196302,0.01,TRUE
"SD of onset angular disparity",23.1,23.0805232372099,0.0194767627901058,0.05,TRUE
"r nominal vs onset angular",0.4501,0.450051164075995,4.88359240047309e-05,0.001,TRUE
"r nominal vs mean angular",0.6572,0.657196564014547,3.4359854531596e-06,0.001,TRUE
"r between the two angular summaries",0.535,0.535129744917403,0.000129744917403363,0.002,TRUE
"B1 per-participant slope min",-0.192,-0.19179289420227,0.000207105797729534,0.002,TRUE
"B1 per-participant slope max",0.887,0.88656134467702,0.00043865532297982,0.002,TRUE
"B1 per-participant slope SD",0.225,0.224934326104606,6.5673895393914e-05,0.002,TRUE
"random-slope LRT chi2",32.19,32.1882969257467,0.0017030742532711,0.05,TRUE
"robustness <=90 deg slope",0.3844,0.384422609145358,2.26091453580657e-05,0.003,TRUE
"robustness <=60 deg slope",0.379,0.378972447558767,2.75524412330919e-05,0.003,TRUE
"robustness no-revisit slope",0.3371,0.337125062524671,2.50625246705494e-05,0.003,TRUE
"robustness final-pose slope",0.4681,0.468057619977271,4.23800227286053e-05,0.005,TRUE
"n trials with onset angle <= 90",721,721,0,0,TRUE
"n trials with onset angle <= 60",672,672,0,0,TRUE
"B1 DHARMa KS D",0.1342,0.134225806451613,2.58064516128753e-05,0.005,TRUE
"A0pub DHARMa KS D",0.0753,0.0752688172043011,3.11827956988864e-05,0.005,TRUE
