"model","singular","max_abs_rel_grad","vcov_min_eig","vcov_cond","RE_min_eig","RE_cond","n_warn","warns"
"M0",FALSE,9.37968468231383e-08,9.3915001874334e-05,33.1407683847154,0.00134410428229828,27.3717963941448,0,""
"M0_ri",FALSE,1.33805570940676e-08,0.000110885911851662,18.2066751376592,0.00359631408153297,1,0,""
"M1",FALSE,1.05376027721471e-06,9.23663582814826e-05,375.277036246011,0.00137452939643339,26.5659077286795,0,""
"M1_sum",FALSE,7.76139463858066e-08,3.16347663768082e-05,280.271345289352,0.00137452931529341,26.5659344247824,0,""
"M2_raw",FALSE,4.94589681590757e-07,6.67623265806e-07,4673.8250288446,0.00140968273642825,26.2230712823931,0,""
"M2_c",FALSE,3.29681278687971e-07,7.61669613147942e-07,3806.0123700249,0.00135079963807342,28.5590798834162,0,""
"M2_rs",FALSE,2.96649233674614e-06,9.80514514372127e-07,3067.01699599843,1.11183819824645e-05,3057.1423390697,0,""
"M2_ri",FALSE,1.33214664786841e-08,6.81188469500825e-07,2966.5400799631,0.00362239620197464,1,0,""
"Sup",FALSE,1.16299862678273e-08,6.68881980181495e-07,971.979897949254,0.00503941480107437,1,0,""
"Sup_adj",FALSE,1.2896820460124e-09,6.16860745530768e-07,2618.94062732207,0.00512113965382904,1,0,""
"Sup_adj_rs",FALSE,7.93199314428554e-08,6.07662223379023e-07,4348.95710672132,0.0043630843415327,7.61477663204552,0,""
"Sup_log",FALSE,3.11163757813914e-09,9.38187294584695e-06,961.874256798953,0.0596507664856014,1,0,""
