"quantity","reported","recomputed","abs_diff","agrees"
"M0 b_disparity",0.3466,0.346596423664192,3.57633580833072e-06,TRUE
"M0 SE_disparity",0.05351,0.0535140824337653,4.08243376534556e-06,TRUE
"M0 t",6.4767,6.47673300001314,3.3000013143436e-05,TRUE
"M0 df",30.505,30.5049898097573,1.01902426656864e-05,TRUE
"M0 SD_int",0.04449,0.0444904683473525,4.683473524697e-07,TRUE
"M0 SD_slope",0.19015,0.190145342451763,4.6575482372524e-06,TRUE
"M0 corr",-0.556,-0.555897943165047,0.000102056834953013,FALSE
"M0 sigma",0.16412,0.16412226086477,2.26086477048137e-06,TRUE
"M0 R2m",0.08173,0.0817270791976513,2.92080234866321e-06,TRUE
"M0 R2c",0.2108,0.21079748516014,2.5148398601349e-06,TRUE
"T1 F",0.8059,0.805865489328317,3.45106716831411e-05,TRUE
"T1 LRT chisq",2.437,2.43699123853094,8.76146906358954e-06,TRUE
"T2c b_trial",0.0001369,0.000136860703683903,3.92963160971652e-08,TRUE
"T2 interaction b",0.008868,0.00886803960724331,3.96072433149486e-08,TRUE
"T2 capture slope",0.34451,0.344505171061004,4.82893899605985e-06,TRUE
"Sup b_trial",-0.002094,-0.0020944473602758,4.47360275802455e-07,TRUE
