"disparity_cm","avg_cm","avg_lo","avg_hi","p10_cm","p10_lo","p10_hi","p90_cm","p90_lo","p90_hi"
15,5.734,3.174,8.216,5.249,-0.308,10.995,6.22,0.383,12.111
20,7.467,5.08,9.776,5.763,0.75,11.162,9.171,3.669,14.416
25,9.2,6.968,11.422,6.278,1.839,11.45,12.123,6.87,16.759
30,10.933,8.699,13.125,6.792,2.522,11.747,15.074,9.961,19.239
35,12.666,10.286,14.964,7.307,3.262,12.249,18.026,12.995,22.029
40,14.399,11.831,16.892,7.822,3.556,13.25,20.977,15.755,25.081
45,16.132,13.345,18.926,8.336,3.814,13.906,23.928,18.331,28.449
50,17.865,14.743,20.944,8.851,4.002,14.733,26.88,20.941,31.887
55,19.598,16.094,23.019,9.365,4.025,15.721,29.831,23.27,35.492
60,21.331,17.343,25.184,9.88,4.041,16.849,32.782,25.792,39
65,23.064,18.719,27.384,10.394,3.903,18.032,35.734,28.205,42.606
70,24.797,20.067,29.538,10.909,3.769,19.194,38.685,30.572,46.328
